관광지명,드라마,방영기간_주,방문객_onset_days,방문객_peak_week,방문객_peak_index,방문객_종영후지속_주,소비_onset_days,소비_peak_week,소비_peak_index,소비_종영후지속_주
여의도한강공원,신성한 이혼,5.1,14,3,1.136,0,21,-1,1.142,0
충주호,눈물의 여왕,7.1,0,8,1.151,7,-14,7,1.595,7
청계천,내 남편과 결혼해줘,7.1,77,11,1.062,0,-14,-2,1.09,0
인천국제공항,킹더랜드,7.1,35,14,1.314,1,35,14,1.292,1
송도해수욕장,폭군의 셰프,5.1,28,6,1.113,1,-7,-4,1.257,1
경복궁,혼례대첩,8.0,-14,-1,1.084,0,42,7,1.192,1
황리단길,찬란한 너의 계절에,6.0,-7,10,1.28,5,-7,10,1.71,5
세종문화회관,우리영화,5.1,미발현,14,1.071,0,미발현,-8,1.042,0
수원시장,선재 업고 튀어,7.1,미발현,-2,1.03,0,미발현,3,1.106,0
행리단길,선재 업고 튀어,7.1,미발현,-2,1.03,0,미발현,3,1.106,0
