타겟,순위,특성,mean_SHAP_avg,mean_SHAP_XGB,mean_SHAP_RF
방문객 YoY 성장률,1,시청률_평균,0.0249,0.0332,0.0167
방문객 YoY 성장률,2,네이버_관광지지수_after4w_mean,0.0243,0.0317,0.0169
방문객 YoY 성장률,3,네이버_드라마지수_during_mean,0.0099,0.0117,0.0081
방문객 YoY 성장률,4,네이버_관광지지수_growth_4w,0.0098,0.0091,0.0105
방문객 YoY 성장률,5,최근접IC거리_km,0.0078,0.0086,0.0069
방문객 YoY 성장률,6,네이버_드라마지수_growth_4w,0.004,0.0074,0.0005
방문객 YoY 성장률,7,ic_출구통행량_growth_4w,0.0039,0.0037,0.0041
방문객 YoY 성장률,8,최근접공항거리_km,0.0036,0.0029,0.0042
방문객 YoY 성장률,9,ic_출구통행량_during_mean,0.0032,0.0055,0.0009
방문객 YoY 성장률,10,인근관광지수,0.0028,0.0038,0.0018
방문객 YoY 성장률,11,공영주차장수_1km,0.0025,1e-04,0.005
방문객 YoY 성장률,12,최근접철도지하철역거리_km,0.0013,0.0021,0.0005
방문객 YoY 성장률,13,넷플릭스,0.001,0.0012,0.0008
관광소비 YoY 성장률,1,최근접IC거리_km,0.0224,0.0277,0.017
관광소비 YoY 성장률,2,인근관광지수,0.017,0.0248,0.0092
관광소비 YoY 성장률,3,네이버_관광지지수_after4w_mean,0.0126,0.0146,0.0105
관광소비 YoY 성장률,4,공영주차장수_1km,0.0081,0.0117,0.0046
관광소비 YoY 성장률,5,시청률_평균,0.0068,0.0083,0.0053
관광소비 YoY 성장률,6,최근접공항거리_km,0.0057,0.009,0.0023
관광소비 YoY 성장률,7,최근접철도지하철역거리_km,0.0054,0.0069,0.0039
관광소비 YoY 성장률,8,네이버_드라마지수_during_mean,0.0041,0.0048,0.0033
관광소비 YoY 성장률,9,네이버_관광지지수_growth_4w,0.0038,0.0023,0.0053
관광소비 YoY 성장률,10,ic_출구통행량_growth_4w,0.0027,0.0037,0.0017
관광소비 YoY 성장률,11,넷플릭스,0.0026,0.0047,0.0004
관광소비 YoY 성장률,12,네이버_드라마지수_growth_4w,0.0022,0.0009,0.0035
관광소비 YoY 성장률,13,ic_출구통행량_during_mean,0.001,0.0005,0.0014
