관광지ID,관광지명_표준,드라마ID,주분석드라마,분석시군구_key,장르_원문,장르수,넷플릭스,인근관광지수,공영주차장수_1km,주차구획수합_1km,최근접공영주차장거리_m,공영주차장수_500m,주차구획수합_500m,공영주차장수_2km,주차구획수합_2km,주차장집계상태,인근_레저/액티비티수,인근_문화/액티비티수,인근_문화유적수,인근_아이와함께수,인근_자연명소수,인근_체험관광수,인근_캠핑수,인근_테마파크수,인근_피크닉수,인근관광지_수집그룹,최근접IC명_원본,최근접IC명_정규화,최근접IC거리_km,최근접공항명,최근접공항거리_km,최근접철도지하철역명,최근접철도지하철역거리_km,교통인프라_검토플래그,X_static_완성상태,택시분석지역_key,택시_원래방영연도,택시_대체여부,택시_기준연도,택시_대체사유,택시_영업대수합계_연도월평균,택시_영업횟수합계_연도월평균,택시_운행거리합계_km_연도월평균,택시_사용월수,관광지명_표준_dynamic,주분석드라마_dynamic,ic_입구통행량_before4w_mean,ic_출구통행량_before4w_mean,ic_총통행량_before4w_mean,네이버_관광지지수_before4w_mean,네이버_드라마지수_before4w_mean,네이버_연관검색지수_before4w_mean,ic_available_days_before4w,naver_available_days_before4w,ic_입구통행량_during_mean,ic_출구통행량_during_mean,ic_총통행량_during_mean,네이버_관광지지수_during_mean,네이버_드라마지수_during_mean,네이버_연관검색지수_during_mean,ic_available_days_during,naver_available_days_during,ic_입구통행량_after4w_mean,ic_출구통행량_after4w_mean,ic_총통행량_after4w_mean,네이버_관광지지수_after4w_mean,네이버_드라마지수_after4w_mean,네이버_연관검색지수_after4w_mean,ic_available_days_after4w,naver_available_days_after4w,ic_입구통행량_growth_4w,ic_출구통행량_growth_4w,ic_총통행량_growth_4w,네이버_관광지지수_growth_4w,네이버_드라마지수_growth_4w,네이버_연관검색지수_growth_4w,ic_통행량_growth_4w,naver_검색지수_growth_4w,네이버_관광지지수_log_growth_4w,네이버_드라마지수_log_growth_4w,네이버_연관검색지수_log_growth_4w,naver_검색지수_log_growth_4w,분석시군구_key_Y,방영시작일,종영일,visit_before4w_mean,visit_after4w_mean,Y_visit_growth_4w,consume_before4w_mean,consume_after4w_mean,Y_consume_growth_4w,visit_before_days,visit_after_days,consume_before_days,consume_after_days,시청률_평균,시청률_최대,시청률_최종화,시청률_상승률,시청률_1화,시청률_회차수
A001,여의도한강공원,D001,신성한 이혼,서울특별시 영등포구,"법정,휴먼,드라마",3,1,98,0,0,1773.0,0,0,1,143,지정집계CSV_반영,0,0,0,40,0,24,0,0,34,여의도한강공원,금천IC,금천IC,8.289,김포,13.179,여의나루,0.172,확정,부분완성,서울특별시,2023,0,2023,방영연도 실제값,948720.25,13871417.916666666,195679875.49166667,12,여의도한강공원,신성한 이혼,102329.6785714286,102788.8928571429,205118.5714285714,0.2312807142857143,1.813024285714286,0.0002085714285714,28,28,104349.5675675676,105915.9459459459,210265.5135135135,0.8048294594594595,24.80625756756757,0.0183908108108108,37,37,106519.1428571429,108613.0,215132.1428571429,0.5648014285714286,4.339746785714286,0.0062142857142857,28,28,0.0409408525874528,0.056660860730853,0.0488184534380812,1.442060205131056,1.393650664201961,28.7945205479452,0.0488184534380812,28.7945205479452,0.2397040744340752,0.6409180705859878,0.0059865069823362,0.0059865069823362,서울특별시 영등포구,2023-03-04,2023-04-09,581284.8789285714,576842.9278571429,-0.0076416078113298,8520331.035714285,8366323.392857143,-0.0180753121224511,28,28,28,28,6.619083333333333,9.488,9.488,0.3047304730473046,7.272,12
A002,충주호,D002,눈물의 여왕,충청북도 충주시,"로맨틱 코미디, 휴먼, 가족, 오피스, 스릴러",5,1,107,0,0,,0,0,0,0,지정집계CSV_반영,0,0,27,30,20,0,0,0,30,충주호,괴산IC,괴산IC,16.265,원주,54.039,여주역,52.93,확정,부분완성,충청북도 충주시,2024,0,2024,방영연도 실제값,22857.5,469855.5833333333,3828227.8333333335,12,충주호,눈물의 여왕,1475.75,1214.607142857143,2690.357142857143,0.0138553571428571,1.252293928571429,0.0002871428571428,28,28,1498.274509803922,1302.156862745098,2800.43137254902,0.0204694117647058,25.18408019607843,0.0814372549019607,51,51,1560.821428571429,1373.785714285714,2934.607142857143,0.0206132142857142,4.672162142857142,0.0403935714285714,28,28,0.0576462331502142,0.1310535446499455,0.0907872029735829,0.4877432658847787,2.730883010977283,139.6741293532338,0.0907872029735829,139.6741293532338,0.0066433879513859,0.9236211546972134,0.0393119739915818,0.0393119739915818,충청북도 충주시,2024-03-09,2024-04-28,246738.4564285714,265571.4896428572,0.0763279202070299,1359448.821428571,1902338.142857143,0.3993451705361578,28,28,28,28,15.693750000000001,24.9,24.9,3.2203389830508473,5.9,16
A003,청계천,D003,내 남편과 결혼해줘,서울특별시 중구,"판타지 로맨스, 로맨틱 코미디, 회귀, 복수, 오피스",5,0,121,12,167,141.0,3,39,27,1142,지정집계CSV_반영,0,0,26,44,0,30,0,0,21,청계천,양재IC,양재IC,13.031,김포,16.626,광화문(세종문화회관),0.338,확정,부분완성,서울특별시,2024,0,2024,방영연도 실제값,1294792.25,19274176.33333333,276903548.23333335,12,청계천,내 남편과 결혼해줘,97758.42857142857,98867.92857142857,196626.3571428571,0.2079478571428572,1.813130357142857,0.0,28,28,99112.9411764706,100106.431372549,199219.3725490196,0.1041403921568627,36.24863411764706,0.0256717647058823,51,51,102036.8214285714,103476.6428571429,205513.4642857143,0.1036396428571429,1.224971071428572,0.0049489285714285,28,28,0.04376495121356,0.0466148563270915,0.0451979443244239,-0.5016075458476885,-0.3243888578651956,,0.0451979443244239,,-0.0903094498482351,-0.2345539554734198,0.004936722877932,0.004936722877932,서울특별시 중구,2024-01-01,2024-02-20,612910.6224999999,619738.6771428572,0.0111403757614876,22134574.5,20383526.71428571,-0.079109168586651,28,28,28,28,9.1260625,11.951,11.951,1.293417770101708,5.211,16
A004,인천국제공항,D004,킹더랜드,인천광역시 중구,"로맨틱 코미디, 오피스, 휴먼, 가족",4,1,166,0,0,,0,0,0,0,지정집계CSV_반영,0,29,14,29,31,34,0,0,29,인천국제공항,공항신도시JCT,공항신도시JCT,5.33,김포,32.674,인천공항2터미널,1.343,공항원천범위검토|IC통행량키검토,부분완성,인천광역시,2023,0,2023,방영연도 실제값,248022.41666666663,3987169.3333333335,48445298.23333333,12,인천국제공항,킹더랜드,77935.53571428571,84751.75,162687.2857142857,1.7810125,2.508661071428571,0.0060782142857142,28,28,77019.94117647059,83934.8431372549,160954.7843137255,2.066137647058823,34.33309784313726,0.1706392156862745,51,51,76688.5,83159.28571428571,159847.7857142857,2.493555357142857,4.640422142857142,0.1063385714285714,28,28,-0.0160008615178753,-0.0187897510755151,-0.0174537302502346,0.4000774038042164,0.8497604940370155,16.49503496092602,-0.0174537302502346,16.49503496092602,0.2281048746114112,0.474724407161802,0.0949961622489411,0.0949961622489411,인천광역시 중구,2023-06-17,2023-08-06,345789.9971428572,362064.8332142857,0.0470656647268624,6066071.928571428,6345403.25,0.046048138683109,28,28,28,28,10.338888888888889,13.8,13.8,1.7058823529411768,5.1,18
A005,송도해수욕장,D005,폭군의 셰프,부산광역시 서구,"가상역사, 타임슬립, 로맨틱 코미디, 판타지, 요리",5,1,26,12,624,59.0,4,158,21,1229,지정집계CSV_반영,0,0,0,10,0,16,0,0,0,송도해수욕장,서부산ICIC,서부산IC,10.627,김해,13.599,자갈치,2.62,IC명정규화,부분완성,부산광역시,2025,1,2024,2025~2026 원천 미보유로 2024 대표값 대체,430795.6666666667,7021944.833333333,74755567.36666666,12,송도해수욕장,폭군의 셰프,30086.35714285714,29173.67857142857,59260.03571428572,0.2423414285714286,1.794830357142857,0.0016553571428571,28,28,30029.27027027027,29216.13513513514,59245.40540540541,0.0880032432432432,30.22074675675675,0.0296735135135135,37,37,31202.71428571429,30539.64285714286,61742.35714285714,0.0589107142857142,5.874353214285714,0.0148757142857142,28,28,0.037105095095309,0.0468218048803777,0.0418886252539503,-0.7569102623807026,2.272929494928391,7.986407766990292,0.0418886252539503,7.986407766990292,-0.1597570962440824,0.9000261515587471,0.013112167467316,0.013112167467316,부산광역시 서구,2025-08-23,2025-09-28,120845.7285714286,125131.5417857143,0.0354651609531443,482185.2142857143,451059.4285714286,-0.0645515142151214,28,28,28,28,11.708333333333334,17.1,17.1,2.489795918367347,4.9,12
A006,경복궁,D006,혼례대첩,서울특별시 종로구,"로맨틱 코미디, 가상역사, 정치",3,1,276,2,56,877.0,0,0,9,174,지정집계CSV_반영,0,0,85,75,16,69,0,0,31,"경복궁, 세종문화회관",양재IC,양재IC,14.154,김포,16.61,경복궁(정부서울청사),0.519,확정,부분완성,서울특별시,2023,0,2023,방영연도 실제값,948720.25,13871417.916666666,195679875.49166667,12,경복궁,혼례대첩,106568.6428571429,107821.8214285714,214390.4642857143,5.803866428571429,4.986103571428572,0.0247271428571428,28,28,102687.1052631579,103817.2280701754,206504.3333333333,4.245630526315789,24.80429403508772,0.2464650877192983,57,57,96280.07142857143,97496.89285714286,193776.9642857143,2.932705714285714,5.278255000000001,0.0476275,28,28,-0.0965440785650562,-0.0957591741136419,-0.0961493323347103,-0.4946979310467051,0.0585931327711518,0.9261222485412212,-0.0961493323347103,0.9261222485412212,-0.5481633771244603,0.0476513640685265,0.02210170872245,0.02210170872245,서울특별시 종로구,2023-10-30,2023-12-25,590990.1789285715,531347.0603571428,-0.1009206594254374,6018295.428571428,6148942.535714285,0.0217083240085921,28,28,28,28,4.16875,5.8,5.8,0.28888888888888886,4.5,16
A007,황리단길,D007,찬란한 너의 계절에,경상북도 경주시,"로맨스, 미스터리, 힐링, 가족, 드라마, 성장, 휴먼, 오피스",8,0,397,42,3626,35.0,6,204,52,4314,지정집계CSV_반영,10,0,99,65,55,72,63,10,23,"황리단길, 국립경주박물관",경주IC,경주IC,3.997,포항경주,25.282,태화강역,35.685,확정,부분완성,경상북도 경주시,2026,1,2024,2025~2026 원천 미보유로 2024 대표값 대체,25590.666666666668,501018.0,5156935.325,12,황리단길,찬란한 너의 계절에,18116.35714285714,18083.35714285714,36199.71428571428,1.598107857142857,2.558155714285714,0.0002392857142857,28,28,17309.79069767442,17169.44186046511,34479.23255813953,1.542600465116279,17.71451697674419,0.028243488372093,43,43,18940.39285714286,18516.57142857143,37456.96428571428,1.716310357142857,2.140376785714286,0.0054253571428571,28,28,0.0454857291555778,0.0239565188195934,0.0347309371028974,0.0739640315712645,-0.1633125482699868,21.67313432835821,0.0347309371028974,21.67313432835821,0.0444910402648045,-0.1248995646690356,0.0051714358179982,0.0051714358179982,경상북도 경주시,2026-02-20,2026-04-03,315846.9828571429,336534.9282142856,0.065499898621795,2725270.928571429,3277408.785714286,0.202599254024364,28,28,28,28,3.2083333333333335,4.4,3.1,-0.29545454545454547,4.4,12
A008,세종문화회관,D008,우리영화,서울특별시 종로구,"멜로, 일상",2,0,276,4,80,180.0,1,16,8,166,지정집계CSV_반영,0,0,85,75,16,69,0,0,31,"경복궁, 세종문화회관",양재IC,양재IC,13.489,김포,16.393,광화문(세종문화회관),0.127,확정,부분완성,서울특별시,2025,1,2024,2025~2026 원천 미보유로 2024 대표값 대체,1294792.25,19274176.33333333,276903548.23333335,12,세종문화회관,우리영화,102517.4285714286,105052.0714285714,207569.5,1.602881428571429,2.555245357142857,0.003725,28,28,100388.0,102614.5945945946,203002.5945945946,1.730594864864865,27.51641810810811,0.1203589189189189,37,37,100404.2142857143,102469.5714285714,202873.7857142857,2.020923571428571,3.251098928571429,0.0201878571428571,28,28,-0.0206132197730837,-0.0245830469107497,-0.0226223712333184,0.2608066544446296,0.272323583128095,4.419558964525407,-0.0226223712333184,4.419558964525407,0.1489435298485907,0.1787534425870489,0.0162687046393485,0.0162687046393485,서울특별시 종로구,2025-06-13,2025-07-19,627635.2135714286,560530.2124999999,-0.1069172022544457,6578553.464285715,6243497.214285715,-0.0509315994494816,28,28,28,28,3.641666666666667,4.2,4.1,-0.023809523809523937,4.2,12
A009,수원시장,D009,선재 업고 튀어,경기도 수원시 팔달구,"타임슬립, 판타지, 로맨틱 코미디, 청춘, 힐링, 가족, 스릴러",7,1,76,2,169,265.0,1,129,6,737,지정집계CSV_반영,0,0,23,18,0,23,0,0,12,"수원시장, 행리단길",동수원IC,동수원IC,5.658,김포,37.365,수원역(분당),0.139,확정,부분완성,경기도 수원시,2024,0,2024,방영연도 실제값,96474.41666666669,1692126.5,18303004.025,12,수원시장,선재 업고 튀어,42973.14285714286,39786.78571428572,82759.92857142857,,,,28,0,42708.13725490196,39856.13725490196,82564.27450980392,,,,51,0,43500.46428571428,40163.75,83664.21428571429,,,,28,0,0.012270953286438,0.0094746101990071,0.0109266130347762,,,,0.0109266130347762,,,,,,경기도 수원시 팔달구,2024-04-08,2024-05-28,321703.5546428571,304529.1939285714,-0.0533856728233917,3450450.0,3368440.035714286,-0.023767903979398,28,28,28,28,4.1831875,5.762,5.762,0.8750406768630002,3.073,16
A010,행리단길,D009,선재 업고 튀어,경기도 수원시 팔달구,"타임슬립, 판타지, 로맨틱 코미디, 청춘, 힐링, 가족, 스릴러",7,1,76,4,639,199.0,2,236,16,1757,지정집계CSV_반영,0,0,23,18,0,23,0,0,12,"수원시장, 행리단길",동수원IC,동수원IC,3.681,김포,36.122,화서역,2.055,확정,부분완성,경기도 수원시,2024,0,2024,방영연도 실제값,96474.41666666669,1692126.5,18303004.025,12,행리단길,선재 업고 튀어,42973.14285714286,39786.78571428572,82759.92857142857,0.2213028571428572,1.113733928571429,0.0004278571428571,28,28,42708.13725490196,39856.13725490196,82564.27450980392,0.2493558823529412,38.39388745098039,0.1358241176470588,51,51,43500.46428571428,40163.75,83664.21428571429,0.2273182142857143,11.57788214285714,0.0650103571428571,28,28,0.012270953286438,0.0094746101990071,0.0109266130347762,0.0271815611443915,9.395554850078002,150.9440734557596,0.0109266130347762,150.9440734557596,0.004913270831531,1.78348386805153,0.0625567584927785,0.0625567584927785,경기도 수원시 팔달구,2024-04-08,2024-05-28,321703.5546428571,304529.1939285714,-0.0533856728233917,3450450.0,3368440.035714286,-0.023767903979398,28,28,28,28,4.1831875,5.762,5.762,0.8750406768630002,3.073,16
