"집계일자","영업소코드","입출구구분코드","TCS하이패스구분코드","고속도로운영기관구분코드","영업형태구분코드","1종교통량","2종교통량","3종교통량","4종교통량","5종교통량","6종교통량","총교통량",
"2025-10-01","528 ","0","2","00","0","23606","433","2663","427","356","1074","28559",
"2025-10-01","528 ","1","1","00","0","884","25","81","66","21","121","1198",
"2025-10-01","528 ","1","2","00","0","24549","372","2599","407","323","1158","29408",
"2025-10-01","529 ","0","1","00","0","299","16","82","32","10","3","442",
"2025-10-01","529 ","0","2","00","0","3626","168","386","121","178","198","4677",
"2025-10-01","529 ","1","1","00","0","212","5","23","12","6","22","280",
"2025-10-01","529 ","1","2","00","0","2670","88","307","67","100","145","3377",
"2025-10-01","530 ","0","1","00","0","93","5","24","19","4","0","145",
"2025-10-01","530 ","0","2","00","0","1440","72","68","62","120","39","1801",
"2025-10-01","530 ","1","1","00","0","125","10","39","21","3","10","208",
"2025-10-01","530 ","1","2","00","0","1590","88","82","121","112","36","2029",
"2025-10-01","531 ","0","1","00","0","285","5","60","65","23","1","439",
"2025-10-01","531 ","0","2","00","0","3679","94","93","220","254","103","4443",
"2025-10-01","531 ","1","1","00","0","294","16","80","50","7","34","481",
"2025-10-01","531 ","1","2","00","0","3486","103","102","166","207","100","4164",
"2025-10-01","532 ","0","1","00","0","117","4","18","7","5","1","152",
"2025-10-01","532 ","0","2","00","0","2094","51","30","49","68","73","2365",
"2025-10-01","532 ","1","1","00","0","139","8","10","6","2","20","185",
"2025-10-01","532 ","1","2","00","0","1900","31","11","24","46","60","2072",
"2025-10-01","533 ","0","1","00","0","135","8","46","43","16","1","249",
"2025-10-01","533 ","0","2","00","0","2206","107","56","119","174","65","2727",
"2025-10-01","533 ","1","1","00","0","215","7","50","44","20","21","357",
"2025-10-01","533 ","1","2","00","0","2418","108","66","132","185","70","2979",
"2025-10-01","534 ","0","1","00","0","79","4","15","12","13","0","123",
"2025-10-01","534 ","0","2","00","0","1051","26","29","25","111","37","1279",
"2025-10-01","534 ","1","1","00","0","100","5","18","15","11","11","160",
"2025-10-01","534 ","1","2","00","0","1312","38","35","38","97","37","1557",
"2025-10-01","535 ","0","1","00","0","84","11","8","19","4","0","126",
"2025-10-01","535 ","0","2","00","0","1000","24","28","62","141","33","1288",
"2025-10-01","535 ","1","1","00","0","113","1","16","21","13","5","169",
"2025-10-01","535 ","1","2","00","0","1056","18","31","42","124","35","1306",
"2025-10-01","536 ","0","1","00","0","150","3","75","53","12","0","293",
"2025-10-01","536 ","0","2","00","0","2242","100","224","219","170","76","3031",
"2025-10-01","536 ","1","1","00","0","200","8","83","51","13","16","371",
"2025-10-01","536 ","1","2","00","0","2205","80","196","183","177","73","2914",
"2025-10-01","537 ","0","1","00","0","118","7","74","71","17","0","287",
"2025-10-01","537 ","0","2","00","0","1690","109","91","172","463","42","2567",
"2025-10-01","537 ","1","1","00","0","137","7","88","79","17","7","335",
"2025-10-01","537 ","1","2","00","0","1717","119","101","143","471","47","2598",
"2025-10-01","538 ","0","1","00","0","110","6","89","66","22","1","294",
"2025-10-01","538 ","0","2","00","0","1880","135","106","210","299","55","2685",
"2025-10-01","538 ","1","1","00","0","120","11","86","56","16","15","304",
"2025-10-01","538 ","1","2","00","0","1776","133","93","173","328","54","2557",
"2025-10-01","539 ","0","1","00","0","105","17","55","39","9","0","225",
"2025-10-01","539 ","0","2","00","0","1353","107","73","134","227","33","1927",
"2025-10-01","539 ","1","1","00","0","118","9","70","42","12","6","257",
"2025-10-01","539 ","1","2","00","0","1360","101","66","147","247","37","1958",
"2025-10-01","540 ","0","1","00","0","289","28","302","224","46","2","891",
"2025-10-01","540 ","0","2","00","0","9020","794","619","1326","1388","442","13589",
"2025-10-01","540 ","1","1","00","0","541","63","406","255","68","87","1420",
"2025-10-01","540 ","1","2","00","0","10407","845","636","1260","1489","515","15152",
"2025-10-01","541 ","0","1","00","0","570","20","346","238","36","2","1212",
"2025-10-01","541 ","0","2","00","0","10051","676","551","1043","827","560","13708",
"2025-10-01","541 ","1","1","00","0","560","36","284","209","48","78","1215",
"2025-10-01","541 ","1","2","00","0","10671","613","585","1001","819","601","14290",
"2025-10-01","542 ","0","1","00","0","530","32","301","307","33","6","1209",
"2025-10-01","542 ","0","2","00","0","13441","646","695","1632","1149","734","18297",
"2025-10-01","542 ","1","1","00","0","559","38","321","282","54","85","1339",
"2025-10-01","542 ","1","2","00","0","11091","637","697","1585","1285","578","15873",
"2025-10-01","543 ","0","1","00","0","487","49","302","276","54","10","1178",
"2025-10-01","543 ","0","2","00","0","12901","967","784","1437","1482","604","18175",
"2025-10-01","543 ","1","1","00","0","576","46","408","290","77","110","1507",
"2025-10-01","543 ","1","2","00","0","12549","935","743","1470","1680","609","17986",
"2025-10-01","544 ","0","1","00","0","391","37","105","158","65","1","757",
"2025-10-01","544 ","0","2","00","0","4979","137","231","376","1207","112","7042",
"2025-10-01","544 ","1","1","00","0","517","17","157","209","42","54","996",
"2025-10-01","544 ","1","2","00","0","4308","142","229","295","943","104","6021",
"2025-10-01","545 ","0","1","00","0","222","7","34","35","13","1","312",
"2025-10-01","545 ","0","2","00","0","2492","67","170","83","172","66","3050",
"2025-10-01","545 ","1","1","00","0","308","16","45","40","11","23","443",
"2025-10-01","545 ","1","2","00","0","2837","73","159","78","200","81","3428",
"2025-10-01","546 ","0","1","00","0","72","7","16","7","5","1","108",
"2025-10-01","546 ","0","2","00","0","1089","50","61","59","82","44","1385",
"2025-10-01","546 ","1","1","00","0","105","5","19","9","7","11","156",
"2025-10-01","546 ","1","2","00","0","1179","35","60","55","77","40","1446",
"2025-10-01","547 ","0","1","00","0","28","2","1","2","2","2","37",
"2025-10-01","547 ","0","2","00","0","502","12","7","4","16","13","554",
"2025-10-01","547 ","1","1","00","0","39","1","4","4","0","1","49",
"2025-10-01","547 ","1","2","00","0","464","9","4","7","9","13","506",
"2025-10-01","548 ","0","1","00","0","123","7","15","16","9","0","170",
"2025-10-01","548 ","0","2","00","0","2130","57","85","57","86","45","2460",
"2025-10-01","548 ","1","1","00","0","181","7","17","18","5","12","240",
"2025-10-01","548 ","1","2","00","0","2242","54","66","62","73","51","2548",
"2025-10-01","549 ","0","1","00","0","237","2","24","11","2","0","276",
"2025-10-01","549 ","0","2","00","0","4051","68","71","66","92","99","4447",
