"장소명","관광지주소","관광지위도","관광지경도","주차장관리번호","주차장명","주차장유형","주차장주소","거리_m","주차구획수","요금정보","좌표출처","데이터기준일자","원본파일"
"여의도한강공원","서울특별시 영등포구 여의동로 계절광장","37.5267106","126.9347112","118-2-000029","경부제3녹지 공영주차장","노외","서울특별시 영등포구 영등포로 405","1773","143","유료","원본","2026-04-20","서울특별시_영등포구_주차장정보_20260420.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","101-1-000006","뉴국제호텔앞 공영주차장","노상","서울특별시 중구 세종대로22길 12","141","19","유료","원본","2026-04-17","서울특별시_중구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","101-1-000004","다동쉼터 공영주차장","노상","서울특별시 중구 다동길 11","168","7","유료","원본","2026-04-17","서울특별시_중구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","100-1-000006","종각뒤","노상","서울특별시 종로구 종로8길 5-8","469","13","유료","주소 지오코딩 보완","2026-04-17","서울특별시_종로구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","100-1-000005","광화문빌딩앞","노상","서울특별시 종로구 당주동 40-6","508","16","유료","주소 지오코딩 보완","2026-04-17","서울특별시_종로구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","101-1-000020","조선호텔앞 공영주차장","노상","서울특별시 중구 남대문로7길 11","643","4","유료","원본","2026-04-17","서울특별시_중구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","100-2-000001","서인사마당","노외","서울특별시 종로구 인사동11길 19 (견지동)","666","40","유료","주소 지오코딩 보완","2026-04-17","서울특별시_종로구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","100-2-000004","하나로빌딩옆","노외","서울특별시 종로구 종로11길 17-18 (인사동)","740","11","유료","주소 지오코딩 보완","2026-04-17","서울특별시_종로구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","100-1-000001","낙원상가 밑","노상","서울특별시 종로구 삼일대로 428","858","10","유료","주소 지오코딩 보완","2026-04-17","서울특별시_종로구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","101-1-000005","해운센터앞 공영주차장","노상","서울특별시 중구 세종대로9길 68-1","867","9","유료","원본","2026-04-17","서울특별시_중구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","101-1-000007","이화여고앞 공영주차장","노상","서울특별시 중구 통일로4길 30","887","13","유료","원본","2026-04-17","서울특별시_중구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","101-1-000017","한국관광공사옆 공영주차장","노상","서울특별시 중구 남대문로 11","916","9","유료","원본","2026-04-17","서울특별시_중구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","101-1-000021","서소문올리브타워옆 공영주차장","노상","서울특별시 중구 세종대로9길 41","996","16","유료","원본","2026-04-17","서울특별시_중구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","100-2-000002","신문로","노외","서울특별시 종로구 신문로 1가 58-36","1092","30","유료","주소 지오코딩 보완","2026-04-17","서울특별시_종로구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","101-1-000015","코오롱빌딩옆 공영주차장","노상","서울특별시 중구 세종대로 23","1192","10","유료","원본","2026-04-17","서울특별시_중구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","101-1-000014","남대문피혁상가남측 공영주차장","노상","서울특별시 중구 세종대로 23","1192","24","유료","원본","2026-04-17","서울특별시_중구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","101-2-000012","서소문삼성생명뒤 공영주차장","노외","서울특별시 중구 세종대로 23","1192","23","유료","원본","2026-04-17","서울특별시_중구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","101-1-000019","남평화시장앞 공영주차장","노상","서울특별시 중구 세종대로 23","1192","32","유료","원본","2026-04-17","서울특별시_중구_주차장정보_20260417.csv"
"청계천","서울특별시 중구 무교동 80-1","37.5691015","126.9786692","101-1-000018","맑은내길 공영주차장","노상","서울특별시 중구 세종대로 23","1192","17","유료","원본","2026-04-17","서울특별시_중구_주차장정보_20260417.csv"
