"장소명","주소","드라마명","위도","경도","500m_주차장수","500m_총주차구획수","1km_주차장수","1km_총주차구획수","2km_주차장수","2km_총주차구획수","비고"
"여의도한강공원","서울특별시 영등포구 여의동로 계절광장","신성한 이혼","37.5267106","126.9347112","0","0","0","0","1","143","여의도 한강공원 대표좌표"
"충주호","충청북도 충주시 동량면 명오리 444-1","눈물의 여왕","36.9595174","128.0666592","0","0","0","0","0","0","넓은 수역의 명오리 대표좌표"
"청계천","서울특별시 중구 무교동 80-1","내 남편과 결혼해줘","37.5691015","126.9786692","3","39","12","167","27","1142","좌표는 청계광장 스프링 인근 종로구 경계. 중구·종로구 자료 합산"
"인천국제공항","인천광역시 중구 공항로 272 인천국제공항 (ICN)","킹더랜드","37.458666","126.4419679","0","0","0","0","0","0","제1여객터미널 대표좌표"
"송도해수욕장","부산광역시 서구 암남동 356-6","폭군의 셰프","35.0754546","129.016761","4","158","12","624","21","1229","해수욕장 대표좌표"
"경복궁","서울특별시 종로구 사직로 161","혼례대첩","37.579617","126.977041","0","0","2","56","9","174","경복궁 권역 대표좌표"
"황리단길","경상북도 경주시 황남동 포석로 일대","찬란한 너의 계절에","35.8376609","129.209724","6","204","42","3626","52","4314","거리형 관광지 대표좌표. 경주시 두 파일 관리번호 중복 제거"
"세종문화회관","서울특별시 종로구 세종대로 175 세종문화회관","우리영화","37.5725254","126.9756429","1","16","4","80","8","166","세종대로 175 좌표"
"수원시장","경기도 수원시 팔달구 매산로1가 86-8","선재업고 튀어, 이상한 변호사 우영우","37.2667603","127.0014613","1","129","2","169","6","737","수원역·매산로1가 주소 좌표 사용. 관광지명은 모호하므로 주소 기준 해석"
"행리단길","경기도 수원시 팔달구 장안동 290-2","선재 업고 튀어, 그해우리는, 이상한 변호사 우영우","37.2853077","127.0127544","2","236","4","639","16","1757","장안동 화서문로 일대 대표좌표"
