드라마명,장르,채널,편성 ,방영 시작 시간,방송 횟수,원작유형,배포 유형
"신성한, 이혼","법정,휴먼,드라마",JTBC,토일,22시 30분,12,웹툰,글로벌
눈물의 여왕,"로맨틱 코미디, 휴먼, 가족, 오피스, 스릴러",tvN,토일,21시 10분,18,없음,글로벌
내 남편과 결혼해줘,"판타지 로맨스, 로맨틱 코미디, 회귀, 복수, 오피스",tvN,월화,20시 50분,16,웹소설,글로벌
킹더랜드,"로맨틱 코미디, 오피스, 휴먼, 가족",JTBC,토일,22시 30분,16,없음,글로벌
폭군의 셰프,"가상역사, 타임슬립, 로맨틱 코미디, 판타지, 요리",tvN,토일,21시 10분,12,웹소설,글로벌
혼례대첩,"로맨틱 코미디, 가상역사, 정치",KBS 2TV,월화,21시 45분,16,없음,글로벌
찬란한 너의 계절에,"로맨스, 미스터리, 힐링, 가족, 드라마, 성장, 휴먼, 오피스",MBC,금토,21시 50분,12,없음,글로벌
우리영화,"멜로, 일상",SBS,금토,21시 50분,12,없음,글로벌
선재 업고 튀어,"타임슬립, 판타지, 로맨틱 코미디, 청춘, 힐링, 가족, 스릴러",tvN,월화,20시 50분,16,웹소설,글로벌
이상한 변호사 우영우,"법정, 휴먼, 오피스, 코미디, 성장, 드라마, 사회고발",ENA,수목,21시 10분,16,없음,글로벌
그 해 우리는,"로맨스, 하이틴, 성장",SBS,월화,22시 00분,16,없음,글로벌
