No.,장소명,지역명,점포명,카테고리,주소,카테고리,,
1,여의도한강공원,영등포구,문래창작촌,문화거리,서울 영등포구 문래동3가,체험관광,,
2,여의도한강공원,영등포구,서울크루즈,"유람선,관광선",서울 영등포구 여의도동,체험관광,,
3,여의도한강공원,영등포구,여의도 이크루즈,"유람선,관광선",서울 영등포구 여의도동,체험관광,,
4,여의도한강공원,영등포구,여의도물빛광장,광장,서울 영등포구 여의도동,체험관광,,
5,여의도한강공원,영등포구,대림동차이나타운,먹자거리,서울 영등포구 대림동,체험관광,,
6,여의도한강공원,영등포구,윤중로벚꽃길,"거리,골목",서울 영등포구 여의도동,체험관광,,
7,여의도한강공원,영등포구,국회의사당잔디마당,광장,서울 영등포구 여의도동,체험관광,,
8,여의도한강공원,영등포구,가을단풍길(안양천산책로),계절거리,서울 영등포구 양평동,체험관광,,
9,여의도한강공원,영등포구,가을단풍길(여의나루로),계절거리,서울 영등포구 여의도동,체험관광,,
10,여의도한강공원,영등포구,가을단풍길(윤중로),계절거리,서울 영등포구 여의도동,체험관광,,
11,여의도한강공원,영등포구,신길벚꽃거리,계절거리,서울 영등포구 신길동,체험관광,,
12,여의도한강공원,영등포구,베틀한복 영등포점,한복대여,서울 영등포구 양평동5가,체험관광,,
13,여의도한강공원,영등포구,윤슬한복 by M-up,한복대여,서울 영등포구 당산동3가,체험관광,,
14,여의도한강공원,영등포구,더날한복 영등포,한복대여,서울 영등포구 당산동3가,체험관광,,
15,여의도한강공원,영등포구,한복나빛,한복대여,서울 영등포구 영등포동6가,체험관광,,
16,여의도한강공원,영등포구,예다움한복,한복대여,서울 영등포구 문래동3가,체험관광,,
17,여의도한강공원,영등포구,여의도한강공원자전거대여소,자전거,서울 영등포구 여의도동,체험관광,,
18,여의도한강공원,영등포구,유수한복,한복대여,서울 영등포구 문래동3가,체험관광,,
19,여의도한강공원,영등포구,당산동성당,천주교,서울 영등포구 당산동3가,체험관광,,
20,여의도한강공원,영등포구,서복희우리옷,한복대여,서울 영등포구 도림동,체험관광,,
21,여의도한강공원,영등포구,대방동성당,천주교,서울 영등포구 신길동,체험관광,,
22,여의도한강공원,영등포구,천주교서울대교구문래동성당,천주교,서울 영등포구 문래동3가,체험관광,,
23,여의도한강공원,영등포구,천주교도림동성당,천주교,서울 영등포구 도림동,체험관광,,
24,여의도한강공원,영등포구,천주교여의도성당,천주교,서울 영등포구 여의도동,체험관광,,
25,여의도한강공원,영등포구,마포한강공원자전거대여소,자전거,서울 영등포구 여의도동,체험관광,,
26,여의도한강공원,영등포구,양화한강공원자전거대여소,자전거,서울 영등포구 당산동,체험관광,,
27,여의도한강공원,영등포구,영등포구청자전거대여소,자전거,서울 영등포구 당산동3가,체험관광,,
28,여의도한강공원,영등포구,선일주단,한복대여,서울 영등포구 영등포동5가,체험관광,,
29,여의도한강공원,영등포구,주렁주렁 동물원 영등포점,동물원,서울 영등포구 영등포동4가,아이와함께,,
30,여의도한강공원,영등포구,OPCI 영등포 타임스퀘어점,"관람,체험",서울 영등포구 영등포동4가,아이와함께,,
31,여의도한강공원,영등포구,서울달,"관람,체험",서울 영등포구 여의도동,아이와함께,,
32,여의도한강공원,영등포구,독도체험관,"관람,체험",서울 영등포구 영등포동4가,아이와함께,,
33,여의도한강공원,영등포구,국회박물관어린이박물관,박물관,서울 영등포구 여의도동,아이와함께,,
34,여의도한강공원,영등포구,YDP 곤충체험학습관,박물관,서울 영등포구 당산동3가,아이와함께,,
35,여의도한강공원,영등포구,만천곤충박물관,박물관,서울 영등포구 영등포동6가,아이와함께,,
36,여의도한강공원,영등포구,튠현대백화점더현대서울점,"관람,체험",서울 영등포구 여의도동,아이와함께,,
37,여의도한강공원,영등포구,영등포공원 유아숲체험원,"관람,체험",서울 영등포구 영등포동,아이와함께,,
38,여의도한강공원,영등포구,뽀로로파크 롯데마트맥스 영등포점,"키즈카페,실내놀이터",서울 영등포구 영등포동8가,아이와함께,,
39,여의도한강공원,영등포구,여의도한강공원자전거대여소,자전거,서울 영등포구 여의도동,아이와함께,,
40,여의도한강공원,영등포구,헬로밀가루 영등포점,"키즈카페,실내놀이터",서울 영등포구 문래동3가,아이와함께,,
41,여의도한강공원,영등포구,챔피언더블랙벨트 타임스퀘어 영등포점,"키즈카페,실내놀이터",서울 영등포구 영등포동4가,아이와함께,,
42,여의도한강공원,영등포구,국회도서관,도서관,서울 영등포구 여의도동,아이와함께,,
43,여의도한강공원,영등포구,한강텐트대여 별빛텐트 여의도본점,"오락,레저용품",서울 영등포구 여의도동,아이와함께,,
44,여의도한강공원,영등포구,꽃그리는아이 문래점,"키즈카페,실내놀이터",서울 영등포구 문래동3가,아이와함께,,
45,여의도한강공원,영등포구,무키무키 영등포점,"키즈카페,실내놀이터",서울 영등포구 신길동,아이와함께,,
46,여의도한강공원,영등포구,선유도서관,도서관,서울 영등포구 양평동3가,아이와함께,,
47,여의도한강공원,영등포구,문래도서관,도서관,서울 영등포구 문래동3가,아이와함께,,
48,여의도한강공원,영등포구,서울특별시교육청 영등포평생학습관,도서관,서울 영등포구 당산동,아이와함께,,
49,여의도한강공원,영등포구,여의샛강도서관,도서관,서울 영등포구 여의도동,아이와함께,,
50,여의도한강공원,영등포구,리틀마운틴 롯데백화점 영등포점,"키즈카페,실내놀이터",서울 영등포구 영등포동,아이와함께,,
51,여의도한강공원,영등포구,엘스키즈 당산점,"키즈카페,실내놀이터",서울 영등포구 당산동3가,아이와함께,,
52,여의도한강공원,영등포구,서울형키즈카페 영등포구대림2동점,"키즈카페,실내놀이터",서울 영등포구 대림동,아이와함께,,
53,여의도한강공원,영등포구,신길도서관,도서관,서울 영등포구 신길동,아이와함께,,
54,여의도한강공원,영등포구,한강텐트대여 고킥보드자전거피크닉텐트 여의도,"오락,레저용품",서울 영등포구 여의도동,아이와함께,,
55,여의도한강공원,영등포구,대림도서관,도서관,서울 영등포구 대림동,아이와함께,,
56,여의도한강공원,영등포구,한강텐트대여 써니텐트 여의도점,"오락,레저용품",서울 영등포구 여의도동,아이와함께,,
57,여의도한강공원,영등포구,한강텐트대여 데이피크닉 여의도점,"오락,레저용품",서울 영등포구 여의도동,아이와함께,,
58,여의도한강공원,영등포구,영등포 생각공장 도서관,도서관,서울 영등포구 당산동1가,아이와함께,,
59,여의도한강공원,영등포구,레인보우스타 영등포홈플러스점,"키즈카페,실내놀이터",서울 영등포구 문래동3가,아이와함께,,
60,여의도한강공원,영등포구,한강텐트대여 갑자기피크닉 여의도,"오락,레저용품",서울 영등포구 여의도동,아이와함께,,
61,여의도한강공원,영등포구,프로맘킨더 타임스퀘어점,"키즈카페,실내놀이터",서울 영등포구 영등포동4가,아이와함께,,
62,여의도한강공원,영등포구,엘스키즈 여의도점,"키즈카페,실내놀이터",서울 영등포구 여의도동,아이와함께,,
63,여의도한강공원,영등포구,원지공원도서관,도서관,서울 영등포구 대림동,아이와함께,,
64,여의도한강공원,영등포구,밤동산작은도서관,도서관,서울 영등포구 신길동,아이와함께,,
65,여의도한강공원,영등포구,한강텐트대여 하루텐트 여의도본점,"오락,레저용품",서울 영등포구 여의도동,아이와함께,,
66,여의도한강공원,영등포구,영등포종합사회복지관 장난감도서관,어린이도서관,서울 영등포구 신길동,아이와함께,,
67,여의도한강공원,영등포구,꼬미무인키즈룸,"키즈카페,실내놀이터",서울 영등포구 문래동6가,아이와함께,,
68,여의도한강공원,영등포구,조롱박작은도서관,도서관,서울 영등포구 대림동,아이와함께,,
69,여의도한강공원,영등포구,상상블럭 홈플러스 영등포점,"키즈카페,실내놀이터",서울 영등포구 문래동3가,아이와함께,,
70,여의도한강공원,영등포구,키디키즈룸 영등포당산점,"키즈카페,실내놀이터",서울 영등포구 영등포동7가,아이와함께,,
71,여의도한강공원,영등포구,한강텐트대여 피크닉109 선유도점,"오락,레저용품",서울 영등포구 양평동5가,아이와함께,,
72,여의도한강공원,영등포구,마포한강공원자전거대여소,자전거,서울 영등포구 여의도동,아이와함께,,
73,여의도한강공원,영등포구,언니네작은도서관,도서관,서울 영등포구 대림동,아이와함께,,
74,여의도한강공원,영등포구,한강텐트대여 노블피크닉 여의도 물빛광장,"오락,레저용품",서울 영등포구 여의도동,아이와함께,,
75,여의도한강공원,영등포구,신길7동 마음서랍 작은도서관,도서관,서울 영등포구 신길동,아이와함께,,
76,여의도한강공원,영등포구,상상블럭 롯데마트양평점,"키즈카페,실내놀이터",서울 영등포구 양평동3가,아이와함께,,
77,여의도한강공원,영등포구,한강텐트대여 테이블뷰 여의도점,"오락,레저용품",서울 영등포구 여의도동,아이와함께,,
78,여의도한강공원,영등포구,한강텐트대여 스마일피크닉 여의도,"오락,레저용품",서울 영등포구 여의도동,아이와함께,,
79,여의도한강공원,영등포구,양화한강공원자전거대여소,자전거,서울 영등포구 당산동,아이와함께,,
80,여의도한강공원,영등포구,영등포구청자전거대여소,자전거,서울 영등포구 당산동3가,아이와함께,,
81,여의도한강공원,영등포구,늘샘드리 작은도서관,도서관,서울 영등포구 도림동,아이와함께,,
82,여의도한강공원,영등포구,여의도 한강공원,시민공원,서울 영등포구 여의도동,아이와함께,,
83,여의도한강공원,영등포구,여의도공원,근린공원,서울 영등포구 여의도동,피크닉,,
84,여의도한강공원,영등포구,선유도공원,근린공원,서울 영등포구 당산동,피크닉,,
85,여의도한강공원,영등포구,문래근린공원,근린공원,서울 영등포구 문래동3가,피크닉,,
86,여의도한강공원,영등포구,양화 한강공원,시민공원,서울 영등포구 양화동,피크닉,,
87,여의도한강공원,영등포구,앙카라공원,근린공원,서울 영등포구 여의도동,피크닉,,
88,여의도한강공원,영등포구,영등포공원,"도시,테마공원",서울 영등포구 영등포동,피크닉,,
89,여의도한강공원,영등포구,여의도 샛강생태공원,"자연,생태공원",서울 영등포구 여의도동,피크닉,,
90,여의도한강공원,영등포구,양평누리체육공원,"도시,테마공원",서울 영등포구 양화동,피크닉,,
91,여의도한강공원,영등포구,문래동꽃밭정원,근린공원,서울 영등포구 문래동3가,피크닉,,
92,여의도한강공원,영등포구,당산공원,근린공원,서울 영등포구 당산동3가,피크닉,,
93,여의도한강공원,영등포구,신길근린공원,근린공원,서울 영등포구 신길동,피크닉,,
94,여의도한강공원,영등포구,양평유수지생태공원,"자연,생태공원",서울 영등포구 양평동3가,피크닉,,
95,여의도한강공원,영등포구,메낙골근린공원,근린공원,서울 영등포구 신길동,피크닉,,
96,여의도한강공원,영등포구,원지공원,근린공원,서울 영등포구 대림동,피크닉,,
97,여의도한강공원,영등포구,여의도이용숲,근린공원,서울 영등포구 여의도동,피크닉,,
98,여의도한강공원,영등포구,소녀시대숲,근린공원,서울 영등포구 여의도동,피크닉,,
99,여의도한강공원,영등포구,영등포생태공원,"자연,생태공원",서울 영등포구 대림동,피크닉,,
100,여의도한강공원,영등포구,신길바라기공원,근린공원,서울 영등포구 도림동,피크닉,,
101,여의도한강공원,영등포구,여의도한강공원자전거대여소,자전거,서울 영등포구 여의도동,피크닉,,
102,여의도한강공원,영등포구,한강텐트대여 별빛텐트 여의도본점,"오락,레저용품",서울 영등포구 여의도동,피크닉,,
103,여의도한강공원,영등포구,한강텐트대여 고킥보드자전거피크닉텐트 여의도,"오락,레저용품",서울 영등포구 여의도동,피크닉,,
104,여의도한강공원,영등포구,한강텐트대여 써니텐트 여의도점,"오락,레저용품",서울 영등포구 여의도동,피크닉,,
105,여의도한강공원,영등포구,한강텐트대여 데이피크닉 여의도점,"오락,레저용품",서울 영등포구 여의도동,피크닉,,
106,여의도한강공원,영등포구,한강텐트대여 갑자기피크닉 여의도,"오락,레저용품",서울 영등포구 여의도동,피크닉,,
107,여의도한강공원,영등포구,한강텐트대여 하루텐트 여의도본점,"오락,레저용품",서울 영등포구 여의도동,피크닉,,
108,여의도한강공원,영등포구,한강텐트대여 피크닉109 선유도점,"오락,레저용품",서울 영등포구 양평동5가,피크닉,,
109,여의도한강공원,영등포구,마포한강공원자전거대여소,자전거,서울 영등포구 여의도동,피크닉,,
110,여의도한강공원,영등포구,한강텐트대여 노블피크닉 여의도 물빛광장,"오락,레저용품",서울 영등포구 여의도동,피크닉,,
111,여의도한강공원,영등포구,한강텐트대여 테이블뷰 여의도점,"오락,레저용품",서울 영등포구 여의도동,피크닉,,
112,여의도한강공원,영등포구,한강텐트대여 스마일피크닉 여의도,"오락,레저용품",서울 영등포구 여의도동,피크닉,,
113,여의도한강공원,영등포구,양화한강공원자전거대여소,자전거,서울 영등포구 당산동,피크닉,,
114,여의도한강공원,영등포구,영등포구청자전거대여소,자전거,서울 영등포구 당산동3가,피크닉,,
115,여의도한강공원,영등포구,문화공원,공원,서울 영등포구 당산동4가,피크닉,,
116,여의도한강공원,영등포구,시범아파트평화어린이공원,공원,서울 영등포구 여의도동,피크닉,,
117,충주호,충주시,비내섬,섬,충북 충주시 앙성면,자연명소,,
118,충주호,충주시,계명산,산,충북 충주시 종민동,자연명소,,
119,충주호,충주시,충주호,"호수,연못,저수지",충북 충주시 동량면,자연명소,,
120,충주호,충주시,충주시민의숲,"숲,숲길",충북 충주시 호암동,자연명소,,
121,충주호,충주시,남산,산,충북 충주시 직동,자연명소,,
122,충주호,충주시,수룡폭포,폭포,충북 충주시 노은면,자연명소,,
123,충주호,충주시,엄정 목계나루 유채꽃밭,자연명소,충북 충주시 엄정면,자연명소,,
124,충주호,충주시,심항산,산,충북 충주시 종민동,자연명소,,
125,충주호,충주시,천등산,산,충북 충주시 산척면,자연명소,,
126,충주호,충주시,대림산,산,충북 충주시 직동,자연명소,,
127,충주호,충주시,주봉산,산,충북 충주시 동량면,자연명소,,
128,충주호,충주시,수주팔봉,"봉우리,고지",충북 충주시 살미면,자연명소,,
129,충주호,충주시,악어봉,"봉우리,고지",충북 충주시 살미면,자연명소,,
130,충주호,충주시,호암지,"저수지,제",충북 충주시 호암동,자연명소,,
131,충주호,충주시,화곡저수지,"저수지,제",충북 충주시 주덕읍,자연명소,,
132,충주호,충주시,중산저수지,"저수지,제",충북 충주시 수안보면,자연명소,,
133,충주호,충주시,고봉,"봉우리,고지",충북 충주시 동량면,자연명소,,
134,충주호,충주시,추평저수지,"저수지,제",충북 충주시 엄정면,자연명소,,
135,충주호,충주시,호암지,"저수지,제",충북 충주시 호암동,자연명소,,
136,충주호,충주시,신덕저수지,"저수지,제",충북 충주시 신니면,자연명소,,
137,충주호,충주시,송강저수지,"저수지,제",충북 충주시 산척면,자연명소,,
138,충주호,충주시,아론딸기,체험여행,충북 충주시 금가면,체험관광,,
139,충주호,충주시,깊은산속옹달샘,체험여행,충북 충주시 노은면,체험관광,,
140,충주호,충주시,슬로우파머,체험여행,충북 충주시 수안보면,체험관광,,
141,충주호,충주시,새봄농원,체험여행,충북 충주시 수안보면,체험관광,,
142,충주호,충주시,충주댐 벚꽃길,"관람,체험",충북 충주시 동량면,체험관광,,
143,충주호,충주시,긴들체험마을,체험마을,충북 충주시 신니면,체험관광,,
144,충주호,충주시,탄금호무지개길,지역명소,충북 충주시 중앙탑면,체험관광,,
145,충주호,충주시,충주호크루즈,"유람선,관광선",충북 충주시 동량면,체험관광,,
146,충주호,충주시,강배체험관,체험여행,충북 충주시 엄정면,체험관광,,
147,충주호,충주시,월악산국립공원자연학습탐방로,"관람,체험",충북 충주시 수안보면,체험관광,,
148,충주호,충주시,석종사,"절,사찰",충북 충주시 직동,체험관광,,
149,충주호,충주시,진농원,체험여행,충북 충주시 주덕읍,체험관광,,
150,충주호,충주시,사과나무이야기길,문화거리,충북 충주시 지현동,체험관광,,
151,충주호,충주시,충주도자기마을,"거리,골목",충북 충주시 엄정면,체험관광,,
152,충주호,충주시,충주재오개하니마을,체험마을,충북 충주시 살미면,체험관광,,
153,충주호,충주시,더청담,한복대여,충북 충주시 금릉동,체험관광,,
154,충주호,충주시,중앙탑의상실,한복대여,충북 충주시 중앙탑면,체험관광,,
155,충주호,충주시,중앙탑자전거,자전거,충북 충주시 중앙탑면,체험관광,,
156,충주호,충주시,봉은사,"절,사찰",충북 충주시 소태면,체험관광,,
157,충주호,충주시,미륵사,"절,사찰",충북 충주시 수안보면,체험관광,,
158,충주호,충주시,창룡사,"절,사찰",충북 충주시 직동,체험관광,,
159,충주호,충주시,천주교 수안보성당,천주교,충북 충주시 수안보면,체험관광,,
160,충주호,충주시,단호사,"절,사찰",충북 충주시 단월동,체험관광,,
161,충주호,충주시,대흥사,"절,사찰",충북 충주시 칠금동,체험관광,,
162,충주호,충주시,미륵세계사,"절,사찰",충북 충주시 수안보면,체험관광,,
163,충주호,충주시,대원사,"절,사찰",충북 충주시 지현동,체험관광,,
164,충주호,충주시,봉학사,"절,사찰",충북 충주시 중앙탑면,체험관광,,
165,충주호,충주시,엄정성라우렌시오성당,천주교,충북 충주시 엄정면,체험관광,,
166,충주호,충주시,백운암,"절,사찰",충북 충주시 엄정면,체험관광,,
167,충주호,충주시,고불선원,"절,사찰",충북 충주시 신니면,체험관광,,
168,충주호,충주시,용화사,"절,사찰",충북 충주시 주덕읍,체험관광,,
169,충주호,충주시,탄금대,"문화,유적",충북 충주시 칠금동,문화유적,,
170,충주호,충주시,충주미륵대원지,"문화,유적",충북 충주시 수안보면,문화유적,,
171,충주호,충주시,중원고구려비,국보,충북 충주시 중앙탑면,문화유적,,
172,충주호,충주시,충주탑평리칠층석탑,국보,충북 충주시 중앙탑면,문화유적,,
173,충주호,충주시,장미산성,국가유산,충북 충주시 중앙탑면,문화유적,,
174,충주호,충주시,임충민공충렬사,국가유산,충북 충주시 단월동,문화유적,,
175,충주호,충주시,충주향교,"문화,유적",충북 충주시 교현동,문화유적,,
