"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-01-01","수원시 팔달구","2518240","1279933","84323","26078"
"2022-01-02","수원시 팔달구","4500870","1043067","79426","28000"
"2022-01-03","수원시 팔달구","2224760","712834","26185","12808"
"2022-01-04","수원시 팔달구","2241328","728402","24963","15722"
"2022-01-05","수원시 팔달구","2356878","778534","26378","32683"
"2022-01-06","수원시 팔달구","2455108","797511","24440","43741"
"2022-01-07","수원시 팔달구","3169619","965698","39932","17275"
"2022-01-08","수원시 팔달구","4548547","1570561","164962","29075"
"2022-01-09","수원시 팔달구","3604612","1182878","196171","35741"
"2022-01-10","수원시 팔달구","1883983","757767","21747","17459"
"2022-01-11","수원시 팔달구","2007333","750907","37466","13090"
"2022-01-12","수원시 팔달구","2106703","807924","23202","11395"
"2022-01-13","수원시 팔달구","2227458","786658","34607","11028"
"2022-01-14","수원시 팔달구","3637901","946098","35553","19504"
"2022-01-15","수원시 팔달구","5102628","1626017","91065","29269"
"2022-01-16","수원시 팔달구","4638927","1187390","57669","34320"
"2022-01-17","수원시 팔달구","1951576","707962","43979","9415"
"2022-01-18","수원시 팔달구","2070201","745161","23489","10478"
"2022-01-19","수원시 팔달구","2193950","747767","26708","40211"
"2022-01-20","수원시 팔달구","2209228","823229","31384","11036"
"2022-01-21","수원시 팔달구","3267426","1020407","32153","15668"
"2022-01-22","수원시 팔달구","4754531","1608585","106831","33931"
"2022-01-23","수원시 팔달구","4012603","1318248","90041","26704"
"2022-01-24","수원시 팔달구","2072887","754657","35861","13648"
"2022-01-25","수원시 팔달구","2162695","753805","32772","21574"
"2022-01-26","수원시 팔달구","2437045","856352","35148","17261"
"2022-01-27","수원시 팔달구","2489795","858832","19604","16987"
"2022-01-28","수원시 팔달구","3557325","1043984","42067","29896"
"2022-01-29","수원시 팔달구","4598996","1379052","84374","34819"
"2022-01-30","수원시 팔달구","3958826","1174280","75150","21780"
"2022-01-31","수원시 팔달구","3009741","899585","62366","16077"
"2022-02-01","수원시 팔달구","985105","485223","56655","10868"
"2022-02-02","수원시 팔달구","2593567","832445","34986","15526"
