"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-01-01","경주시","2990533","1164202","239356","71937"
"2022-01-02","경주시","2339494","784304","308791","51546"
"2022-01-03","경주시","1541208","343352","75965","14349"
"2022-01-04","경주시","1690070","336742","96683","12192"
"2022-01-05","경주시","1753917","348389","84857","14829"
"2022-01-06","경주시","1686862","353317","71395","16597"
"2022-01-07","경주시","1887072","412956","120877","18759"
"2022-01-08","경주시","2442960","794050","239171","49136"
"2022-01-09","경주시","2210483","792299","169943","53145"
"2022-01-10","경주시","1702397","389430","93081","17161"
"2022-01-11","경주시","1682183","352632","81891","16943"
"2022-01-12","경주시","1722855","391158","74723","12340"
"2022-01-13","경주시","1795747","401091","84925","15102"
"2022-01-14","경주시","1949803","473526","118493","21295"
"2022-01-15","경주시","2548357","880780","197519","47940"
"2022-01-16","경주시","2225453","860317","164467","54177"
"2022-01-17","경주시","1711960","379040","117031","18591"
"2022-01-18","경주시","1713892","379187","80809","14508"
"2022-01-19","경주시","1750178","392483","89029","11470"
"2022-01-20","경주시","1765037","402199","86967","12275"
"2022-01-21","경주시","2103494","495467","123661","17875"
"2022-01-22","경주시","2587082","873649","188627","45970"
"2022-01-23","경주시","2328056","831228","273272","44277"
"2022-01-24","경주시","1781124","401804","136338","16661"
"2022-01-25","경주시","1921577","373364","108126","12730"
"2022-01-26","경주시","1861381","385573","80685","12696"
"2022-01-27","경주시","1917158","364734","107370","14991"
"2022-01-28","경주시","2059936","422143","125825","16786"
"2022-01-29","경주시","2711143","837598","200112","38173"
"2022-01-30","경주시","2959350","1079080","244970","54028"
"2022-01-31","경주시","2818944","985269","246011","49491"
"2022-02-01","경주시","1945356","602614","244802","39256"
"2022-02-02","경주시","1846749","559782","159885","32569"
"2022-02-03","경주시","1708535","412077","122782","17877"
"2022-02-04","경주시","1811807","435694","163094","18918"
"2022-02-05","경주시","1938459","624607","162483","29032"
"2022-02-06","경주시","1587644","559490","124606","28799"
"2022-02-07","경주시","1479725","281068","73654","14091"
"2022-02-08","경주시","1520368","304507","62478","10363"
"2022-02-09","경주시","1632805","311418","65710","8861"
"2022-02-10","경주시","1625474","325191","79566","8659"
"2022-02-11","경주시","1836293","399672","89609","12999"
"2022-02-12","경주시","2288209","772105","186709","30723"
"2022-02-13","경주시","1904987","672655","200080","38262"
"2022-02-14","경주시","1646667","384124","102595","18071"
"2022-02-15","경주시","1751640","381240","105489","12642"
"2022-02-16","경주시","1595999","344420","93985","12687"
"2022-02-17","경주시","1741720","371582","111532","37322"
"2022-02-18","경주시","1905254","482646","116942","17779"
"2022-02-19","경주시","2506704","826650","276629","41114"
"2022-02-20","경주시","2074059","748807","207393","43151"
"2022-02-21","경주시","1768535","406733","108248","20408"
"2022-02-22","경주시","1802751","393810","134666","13368"
"2022-02-23","경주시","1775523","371000","111315","11290"
"2022-02-24","경주시","1972892","411460","152393","15728"
"2022-02-25","경주시","2163596","505682","166066","18518"
"2022-02-26","경주시","2718194","973826","258553","47998"
"2022-02-27","경주시","2839526","1053954","359844","59253"
"2022-02-28","경주시","2283696","658638","202988","32304"
"2022-03-01","경주시","2200512","670988","169463","28790"
"2022-03-02","경주시","1543452","257282","48169","6625"
"2022-03-03","경주시","1573828","266669","102740","5561"
"2022-03-04","경주시","1811528","322104","80238","10172"
"2022-03-05","경주시","2105142","635102","182480","38935"
"2022-03-06","경주시","1955480","624599","137190","30437"
"2022-03-07","경주시","1646431","257782","78694","7120"
"2022-03-08","경주시","1748278","312778","68716","5574"
"2022-03-09","경주시","1840245","525901","69137","18933"
"2022-03-10","경주시","1583586","280870","68304","6783"
"2022-03-11","경주시","1868042","359692","71539","8374"
"2022-03-12","경주시","2583375","740255","232714","33576"
"2022-03-13","경주시","1705061","559836","164995","25304"
"2022-03-14","경주시","1656680","246008","65395","6798"
"2022-03-15","경주시","1890969","299688","60064","9048"
"2022-03-16","경주시","1725480","287932","56899","7203"
"2022-03-17","경주시","1616896","270245","64835","5259"
"2022-03-18","경주시","1590971","305278","75255","7351"
"2022-03-19","경주시","2038302","668575","164089","29303"
"2022-03-20","경주시","2200381","717947","215711","39261"
"2022-03-21","경주시","1798710","300986","99354","9377"
"2022-03-22","경주시","1798079","302305","68908","10303"
"2022-03-23","경주시","1830342","312709","73745","7781"
"2022-03-24","경주시","2020842","369300","83850","10041"
"2022-03-25","경주시","2291548","509266","134736","15390"
"2022-03-26","경주시","2985474","1056034","282102","52498"
"2022-03-27","경주시","3048042","1208097","237137","64949"
"2022-03-28","경주시","2264732","511923","133944","19430"
"2022-03-29","경주시","2251538","504132","148905","19452"
"2022-03-30","경주시","2120021","466789","139859","11700"
"2022-03-31","경주시","2244786","517435","127716","15802"
"2022-04-01","경주시","3179595","922290","388511","27889"
"2022-04-02","경주시","4594385","1936262","375233","74653"
"2022-04-03","경주시","3993883","1794721","271606","69673"
"2022-04-04","경주시","2772458","851183","207540","27108"
"2022-04-05","경주시","2739141","748178","183595","23320"
"2022-04-06","경주시","2687132","728403","165048","20721"
"2022-04-07","경주시","2595822","675306","249332","22143"
"2022-04-08","경주시","3066467","912051","225194","25723"
"2022-04-09","경주시","4100191","1661281","362568","83596"
"2022-04-10","경주시","3520347","1413877","323565","71917"
"2022-04-11","경주시","2527318","593970","225902","20052"
"2022-04-12","경주시","2217527","478722","145763","11044"
"2022-04-13","경주시","2012453","413418","100248","10776"
"2022-04-14","경주시","2173848","418017","136200","10606"
"2022-04-15","경주시","2638570","684098","245787","23031"
"2022-04-16","경주시","3773773","1441986","267340","73205"
"2022-04-17","경주시","3370621","1352447","295148","61752"
"2022-04-18","경주시","2385700","557117","135282","23024"
"2022-04-19","경주시","2245648","517425","119880","14253"
"2022-04-20","경주시","2239708","532988","110676","13887"
"2022-04-21","경주시","2255941","538240","82234","24995"
"2022-04-22","경주시","2784934","742473","153911","25990"
"2022-04-23","경주시","3794139","1469816","300612","66338"
"2022-04-24","경주시","3331123","1347739","220971","70699"
"2022-04-25","경주시","2301067","518795","111627","16424"
"2022-04-26","경주시","1842047","420307","78175","12713"
"2022-04-27","경주시","2098150","444678","66125","12854"
"2022-04-28","경주시","2244502","489013","94102","14273"
"2022-04-29","경주시","2476146","618885","180758","20610"
"2022-04-30","경주시","3909216","1357699","497564","66972"
"2022-05-01","경주시","3309293","1229409","301055","68230"
"2022-05-02","경주시","2129235","482674","96712","16125"
"2022-05-03","경주시","2206162","470668","96567","12170"
"2022-05-04","경주시","2636130","578255","150033","26993"
"2022-05-05","경주시","4359302","1688201","344082","98138"
"2022-05-06","경주시","4074315","1600446","285163","107741"
"2022-05-07","경주시","4545378","1773991","581320","92861"
"2022-05-08","경주시","3329964","1220032","301591","28637"
"2022-05-09","경주시","2100145","445766","86460","19665"
"2022-05-10","경주시","2223178","440748","87035","10577"
"2022-05-11","경주시","2028089","435897","70000","15944"
"2022-05-12","경주시","2230020","467857","99302","13647"
"2022-05-13","경주시","2524401","629622","148044","24243"
"2022-05-14","경주시","3776814","1381575","342053","66060"
"2022-05-15","경주시","3239613","1252615","355853","63920"
"2022-05-16","경주시","2198595","505407","107327","18803"
"2022-05-17","경주시","2176633","480416","115075","11350"
"2022-05-18","경주시","2182944","448323","100324","17678"
"2022-05-19","경주시","2246305","487489","122629","16291"
"2022-05-20","경주시","2805686","720809","190144","29589"
"2022-05-21","경주시","3807266","1349274","377691","68702"
"2022-05-22","경주시","3134619","1190930","261009","72168"
"2022-05-23","경주시","2301585","525027","133794","24977"
"2022-05-24","경주시","2174842","466818","109834","15015"
"2022-05-25","경주시","2187615","462837","91151","19663"
"2022-05-26","경주시","2277871","496218","115570","14673"
"2022-05-27","경주시","2597953","652738","155880","27730"
"2022-05-28","경주시","3607214","1218424","399301","62462"
"2022-05-29","경주시","3340637","1176232","482341","70198"
"2022-05-30","경주시","2331768","548570","147187","20861"
"2022-05-31","경주시","2404152","552324","137583","22607"
"2022-06-01","경주시","2783466","870450","216142","47169"
"2022-06-02","경주시","2480912","599658","178127","30165"
"2022-06-03","경주시","2924878","778583","242618","31947"
"2022-06-04","경주시","4262253","1530783","421324","88483"
"2022-06-05","경주시","3844595","1673729","312495","109651"
"2022-06-06","경주시","3177083","1147765","373246","64641"
"2022-06-07","경주시","1957807","448846","116206","18343"
"2022-06-08","경주시","1879078","442269","125732","15731"
"2022-06-09","경주시","2026264","485699","129037","14391"
"2022-06-10","경주시","2199266","585990","146384","15901"
"2022-06-11","경주시","3306323","1144925","353107","48238"
"2022-06-12","경주시","3149748","1119723","331448","54257"
"2022-06-13","경주시","2083355","513989","131294","21873"
"2022-06-14","경주시","1657322","435814","116754","15637"
"2022-06-15","경주시","2084214","447318","125856","15466"
"2022-06-16","경주시","2382209","507105","139203","20316"
"2022-06-17","경주시","2598004","646122","142607","23121"
"2022-06-18","경주시","3598846","1160108","385856","65895"
"2022-06-19","경주시","2997617","1137076","263497","50551"
"2022-06-20","경주시","2308036","514271","113185","20179"
"2022-06-21","경주시","2472392","481035","121156","15941"
"2022-06-22","경주시","2326233","518490","115796","17964"
"2022-06-23","경주시","2554700","625858","120209","19870"
"2022-06-24","경주시","2641606","640427","188906","22096"
"2022-06-25","경주시","3632030","1189823","355559","66206"
"2022-06-26","경주시","3186325","1143009","282032","68045"
"2022-06-27","경주시","2144871","480821","118840","25737"
