"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-01-01","서구","371916","160631","31351","0"
"2022-01-02","서구","287725","104326","29019","78"
"2022-01-03","서구","250542","95090","12108","823"
"2022-01-04","서구","293443","115005","5451","262"
"2022-01-05","서구","286345","94405","9889","243"
"2022-01-06","서구","281619","94130","9692","195"
"2022-01-07","서구","298531","107475","20732","170"
"2022-01-08","서구","357115","142004","23942","0"
"2022-01-09","서구","244812","112233","9612","41"
"2022-01-10","서구","241724","89475","6210","169"
"2022-01-11","서구","285104","94713","13910","281"
"2022-01-12","서구","294066","105645","11692","1306"
"2022-01-13","서구","381199","102014","10303","729"
"2022-01-14","서구","318614","107886","25229","22"
"2022-01-15","서구","422934","186527","24633","0"
"2022-01-16","서구","282448","124060","10480","399"
"2022-01-17","서구","279622","100555","11195","0"
"2022-01-18","서구","341598","109743","12785","13166"
"2022-01-19","서구","331245","107615","4380","73"
"2022-01-20","서구","393230","102323","12330","438"
"2022-01-21","서구","471230","124581","12855","23"
"2022-01-22","서구","416567","157699","18861","509"
"2022-01-23","서구","290092","126084","28647","22"
"2022-01-24","서구","448858","84842","15853","0"
"2022-01-25","서구","595284","96951","5038","192"
"2022-01-26","서구","523049","121698","7715","0"
"2022-01-27","서구","631337","119580","6857","1051"
"2022-01-28","서구","441202","112578","9145","0"
"2022-01-29","서구","413876","148098","26180","0"
"2022-01-30","서구","393492","164576","19593","22"
"2022-01-31","서구","394420","155428","14797","0"
"2022-02-01","서구","226110","82787","17388","0"
"2022-02-02","서구","244818","93580","11342","13905"
"2022-02-03","서구","244097","91424","9478","139"
"2022-02-04","서구","290083","93515","10042","185"
"2022-02-05","서구","285106","97714","14249","213"
"2022-02-06","서구","182177","81463","2501","127"
"2022-02-07","서구","260425","82924","23315","417"
"2022-02-08","서구","236331","90036","10054","139"
"2022-02-09","서구","250747","94907","8720","0"
"2022-02-10","서구","233377","89989","4173","0"
"2022-02-11","서구","275636","97092","8019","42"
"2022-02-12","서구","305467","135443","13616","42"
"2022-02-13","서구","281200","102772","8284","0"
"2022-02-14","서구","275435","97814","7641","134"
"2022-02-15","서구","246131","86535","15936","70"
"2022-02-16","서구","292545","98406","11256","305"
"2022-02-17","서구","281103","95132","11210","436"
"2022-02-18","서구","349103","105078","18482","3430"
"2022-02-19","서구","320371","136919","17642","680"
"2022-02-20","서구","224019","99840","14368","0"
"2022-02-21","서구","396932","90608","13775","633"
"2022-02-22","서구","435900","87032","10506","7354"
"2022-02-23","서구","433184","104582","11563","50"
"2022-02-24","서구","425324","105347","11796","83"
"2022-02-25","서구","594435","103857","11169","60"
"2022-02-26","서구","371407","143136","37019","417"
"2022-02-27","서구","336831","143975","32786","83"
"2022-02-28","서구","423258","124669","12169","278"
"2022-03-01","서구","335327","99114","10602","168"
"2022-03-02","서구","279391","86052","14042","235"
"2022-03-03","서구","286389","100279","9205","6699"
"2022-03-04","서구","261505","98696","5755","134"
"2022-03-05","서구","308838","128243","14425","96"
"2022-03-06","서구","206394","91238","8934","43"
"2022-03-07","서구","255693","83476","9005","0"
"2022-03-08","서구","298295","103090","8841","0"
"2022-03-09","서구","242061","97505","12458","11711"
"2022-03-10","서구","241711","89552","4311","199"
"2022-03-11","서구","268540","102258","4796","432"
"2022-03-12","서구","332474","138323","16163","139"
"2022-03-13","서구","192035","74962","7801","1045"
"2022-03-14","서구","266604","94083","8063","0"
"2022-03-15","서구","363704","98046","9529","288"
"2022-03-16","서구","282774","103467","3873","532"
"2022-03-17","서구","280945","90026","6260","2479"
"2022-03-18","서구","268128","100783","27129","312"
"2022-03-19","서구","287875","117455","13771","316"
"2022-03-20","서구","242595","108802","9406","455"
"2022-03-21","서구","340388","90376","6576","0"
"2022-03-22","서구","421341","107084","10495","1273"
"2022-03-23","서구","367335","109515","5137","288"
"2022-03-24","서구","575145","99381","5371","48"
"2022-03-25","서구","451863","116736","12097","0"
"2022-03-26","서구","347983","153718","27172","0"
"2022-03-27","서구","275910","139132","11246","43"
"2022-03-28","서구","452608","117275","9889","1897"
"2022-03-29","서구","469473","104556","4420","1952"
"2022-03-30","서구","390599","111875","4562","282"
"2022-03-31","서구","440355","122936","7208","225"
"2022-04-01","서구","358963","137764","14873","264"
"2022-04-02","서구","477534","211103","21965","479"
"2022-04-03","서구","312713","169181","12234","43"
"2022-04-04","서구","270427","107757","6489","0"
"2022-04-05","서구","289432","110649","10788","194"
"2022-04-06","서구","320700","117459","5349","22"
"2022-04-07","서구","293994","115430","8256","0"
"2022-04-08","서구","327212","142059","13527","144"
"2022-04-09","서구","444814","206968","25650","94"
"2022-04-10","서구","331534","160618","19178","230"
"2022-04-11","서구","284758","99776","2975","179"
"2022-04-12","서구","303918","116525","3220","43"
"2022-04-13","서구","297593","112759","6894","1956"
"2022-04-14","서구","387063","114336","8152","432"
"2022-04-15","서구","358774","148695","8986","712"
"2022-04-16","서구","451052","218854","25199","22"
"2022-04-17","서구","344466","170481","15751","186"
"2022-04-18","서구","293419","117537","4491","0"
"2022-04-19","서구","348632","132334","8728","0"
"2022-04-20","서구","364638","137436","3788","458"
"2022-04-21","서구","473769","114953","7281","0"
"2022-04-22","서구","485090","146465","19012","2170"
"2022-04-23","서구","435916","213919","25573","1029"
"2022-04-24","서구","361103","180383","17053","2516"
"2022-04-25","서구","561115","113199","5732","325"
"2022-04-26","서구","411169","124181","10334","0"
"2022-04-27","서구","529003","129140","9060","2106"
"2022-04-28","서구","583968","138252","6677","75"
"2022-04-29","서구","469399","154954","16826","0"
"2022-04-30","서구","494566","208293","25444","312"
"2022-05-01","서구","344258","174482","8618","391"
"2022-05-02","서구","340250","102292","9610","0"
"2022-05-03","서구","334895","144230","2973","368"
"2022-05-04","서구","374662","154830","18682","166"
"2022-05-05","서구","496176","236507","34844","182"
"2022-05-06","서구","564428","237995","23002","753"
"2022-05-07","서구","580634","279211","26825","228"
