"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-01-01","영등포구","4599982","1771618","357869","41604"
"2022-01-02","영등포구","9078281","1552429","279999","39826"
"2022-01-03","영등포구","7136028","2084068","271439","31483"
"2022-01-04","영등포구","5862053","2122323","196385","29968"
"2022-01-05","영등포구","6190815","2252461","254864","21309"
"2022-01-06","영등포구","5883615","2384994","129480","24755"
"2022-01-07","영등포구","6990680","2408257","193586","27862"
"2022-01-08","영등포구","9383685","2426606","318092","88959"
"2022-01-09","영등포구","7186680","1932057","260570","55648"
"2022-01-10","영등포구","5260535","2047335","98075","18509"
"2022-01-11","영등포구","5564832","2177972","133832","21632"
"2022-01-12","영등포구","5710280","2228442","152807","31254"
"2022-01-13","영등포구","5996799","2284779","134561","22224"
"2022-01-14","영등포구","7192545","2486371","176099","29726"
"2022-01-15","영등포구","9323006","2644595","271383","62938"
"2022-01-16","영등포구","7850292","1784366","277030","48588"
"2022-01-17","영등포구","5651815","2136013","244070","27312"
"2022-01-18","영등포구","6094032","2242603","118983","61099"
"2022-01-19","영등포구","6358613","2350778","127183","38944"
"2022-01-20","영등포구","6435607","2480123","153653","26404"
"2022-01-21","영등포구","7216648","2590818","231349","41722"
"2022-01-22","영등포구","9221744","2655878","393365","56255"
"2022-01-23","영등포구","7646132","1916698","258093","57736"
"2022-01-24","영등포구","6315143","2258794","218066","51421"
"2022-01-25","영등포구","6508786","2448798","122911","27114"
"2022-01-26","영등포구","6569745","2510988","128360","35119"
"2022-01-27","영등포구","6941402","2497683","208146","27859"
"2022-01-28","영등포구","8778676","2797073","204758","54835"
"2022-01-29","영등포구","9366534","2132483","339087","44733"
"2022-01-30","영등포구","7861877","1634560","212545","51694"
"2022-01-31","영등포구","3229432","1152690","175459","31430"
"2022-02-01","영등포구","2161944","778615","143384","23438"
"2022-02-02","영등포구","6649497","1293770","135856","37427"
"2022-02-03","영등포구","5359848","1818785","187859","18399"
"2022-02-04","영등포구","6169286","2081854","163123","27156"
"2022-02-05","영등포구","7969794","2098510","275303","45979"
"2022-02-06","영등포구","6698496","1443759","150765","33946"
"2022-02-07","영등포구","4899864","1818164","158783","11101"
"2022-02-08","영등포구","5006405","1897405","328653","14454"
"2022-02-09","영등포구","5292285","1926548","141169","27696"
"2022-02-10","영등포구","5389270","2041196","123087","16485"
"2022-02-11","영등포구","7048526","2280074","192072","24399"
"2022-02-12","영등포구","9658142","2514119","317041","53439"
"2022-02-13","영등포구","7002881","1727963","413224","43449"
"2022-02-14","영등포구","6028312","1864758","243751","106194"
"2022-02-15","영등포구","5518735","1858736","171118","20590"
"2022-02-16","영등포구","5171097","1918765","141588","35188"
"2022-02-17","영등포구","5743622","2029702","122376","27483"
"2022-02-18","영등포구","6659318","2114154","153522","27806"
"2022-02-19","영등포구","8977464","2373665","500279","69524"
"2022-02-20","영등포구","7454234","1663788","380330","70156"
"2022-02-21","영등포구","5309208","1801508","168174","25266"
"2022-02-22","영등포구","5368864","2014710","123926","17725"
"2022-02-23","영등포구","5880065","1943207","236632","21924"
"2022-02-24","영등포구","5391967","1991269","133939","25804"
"2022-02-25","영등포구","7070188","2337377","192468","26241"
"2022-02-26","영등포구","8753740","2147433","349514","45929"
"2022-02-27","영등포구","7217276","1793127","333137","56571"
"2022-02-28","영등포구","7260272","2300763","246397","43991"
"2022-03-01","영등포구","7590391","1808420","195267","36099"
"2022-03-02","영등포구","5868055","1913776","162167","46170"
"2022-03-03","영등포구","5892975","2028443","119961","13443"
"2022-03-04","영등포구","6464362","2238676","227791","14535"
"2022-03-05","영등포구","8651484","2337334","277855","57046"
"2022-03-06","영등포구","6933582","1678317","269300","32719"
"2022-03-07","영등포구","4477688","1851902","168990","13197"
"2022-03-08","영등포구","6148880","2267970","134258","16101"
"2022-03-09","영등포구","7117795","1964786","190575","45495"
"2022-03-10","영등포구","4828119","1903551","118066","17547"
"2022-03-11","영등포구","6546028","2379906","139777","22127"
"2022-03-12","영등포구","9218714","2567039","314125","81117"
"2022-03-13","영등포구","7022166","1689192","348821","61120"
"2022-03-14","영등포구","5714054","1851659","174609","6240"
"2022-03-15","영등포구","5294019","1937306","82845","18560"
"2022-03-16","영등포구","5145180","2042034","87298","70707"
"2022-03-17","영등포구","5639345","2025883","105063","16969"
"2022-03-18","영등포구","6867947","2339110","145135","47893"
"2022-03-19","영등포구","8561373","2480973","213052","46759"
"2022-03-20","영등포구","8211880","1778738","339372","43611"
"2022-03-21","영등포구","4786187","1887732","170249","12237"
"2022-03-22","영등포구","5571615","2030032","97539","27544"
"2022-03-23","영등포구","5611237","2183057","228203","18898"
"2022-03-24","영등포구","5575901","2190619","231438","14388"
"2022-03-25","영등포구","6658542","2567959","174751","14379"
"2022-03-26","영등포구","9259347","2575130","274091","41559"
"2022-03-27","영등포구","7953151","2170679","322573","51837"
"2022-03-28","영등포구","5701845","2123736","210867","25183"
"2022-03-29","영등포구","5962390","2257840","91416","16938"
"2022-03-30","영등포구","6194775","2290038","154674","31653"
"2022-03-31","영등포구","6719400","2542685","163868","27611"
"2022-04-01","영등포구","7976517","2865136","187083","21246"
"2022-04-02","영등포구","10393865","2988422","432332","67723"
"2022-04-03","영등포구","8981106","2385498","353822","59991"
"2022-04-04","영등포구","6082762","2241638","209295","12419"
"2022-04-05","영등포구","6269826","2412803","116853","15674"
"2022-04-06","영등포구","6586226","2590344","123004","20628"
"2022-04-07","영등포구","6552269","2697334","129928","15187"
"2022-04-08","영등포구","8269468","3209777","256620","19283"
"2022-04-09","영등포구","10980112","3923693","295099","96593"
"2022-04-10","영등포구","9400452","3065568","416076","44089"
"2022-04-11","영등포구","6798317","2627256","211458","23353"
"2022-04-12","영등포구","6506244","2679633","129630","13659"
"2022-04-13","영등포구","6909582","2594003","146040","26914"
"2022-04-14","영등포구","6911244","2604802","97531","18923"
"2022-04-15","영등포구","8512508","3118870","166420","119399"
"2022-04-16","영등포구","11090219","3196381","444084","68564"
"2022-04-17","영등포구","9159140","2418933","316628","50198"
"2022-04-18","영등포구","4669467","2464891","230576","23432"
"2022-04-19","영등포구","6429009","2567743","105329","14801"
"2022-04-20","영등포구","7251874","2778405","188036","30365"
"2022-04-21","영등포구","6881652","2821508","119477","16696"
"2022-04-22","영등포구","7741441","3069345","191644","22814"
"2022-04-23","영등포구","11293959","3394504","302218","64032"
"2022-04-24","영등포구","8926044","2487159","337626","61864"
"2022-04-25","영등포구","6749446","2537381","180177","26299"
"2022-04-26","영등포구","6913173","2832966","173515","27896"
"2022-04-27","영등포구","7201831","2875461","119280","32103"
"2022-04-28","영등포구","7271951","3014684","114004","18839"
"2022-04-29","영등포구","9144055","3481004","214026","32818"
"2022-04-30","영등포구","12152854","3813634","449057","69138"
"2022-05-01","영등포구","11316892","2902050","311611","62721"
"2022-05-02","영등포구","7057279","2609365","118641","36879"
"2022-05-03","영등포구","7406281","2887978","137620","23730"
"2022-05-04","영등포구","8246666","3362491","225406","59071"
"2022-05-05","영등포구","11005852","3125332","377505","111537"
"2022-05-06","영등포구","9592509","3153958","190579","82076"
"2022-05-07","영등포구","10760677","3352592","270011","85341"
"2022-05-08","영등포구","8560083","2503095","205374","64592"
"2022-05-09","영등포구","6441562","2529444","144608","22567"
"2022-05-10","영등포구","6854206","2813515","90173","32613"
"2022-05-11","영등포구","6831484","2886501","134082","53437"
"2022-05-12","영등포구","7342877","2973350","123258","35229"
"2022-05-13","영등포구","8461868","3425594","161966","39391"
"2022-05-14","영등포구","11602609","3981213","362658","110007"
"2022-05-15","영등포구","9209520","2668970","202857","88968"
"2022-05-16","영등포구","5082581","2672025","137289","30892"
"2022-05-17","영등포구","7179174","2940752","219191","30682"
"2022-05-18","영등포구","6941857","2890495","116689","65957"
"2022-05-19","영등포구","7005090","3066776","111956","48578"
"2022-05-20","영등포구","8707132","3381267","245977","50249"
"2022-05-21","영등포구","11221663","3584479","459338","115337"
"2022-05-22","영등포구","8844693","2655263","216809","94977"
"2022-05-23","영등포구","6613781","2595441","134499","45640"
"2022-05-24","영등포구","6872110","2910769","121989","29573"
