"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-01-01","종로구","3705267","2156375","215852","27858"
"2022-01-02","종로구","3679115","2004202","218699","40039"
"2022-01-03","종로구","3826493","2048939","186288","97757"
"2022-01-04","종로구","3789318","2337304","107038","31447"
"2022-01-05","종로구","4083387","2454116","139778","69352"
"2022-01-06","종로구","4054408","2584478","119050","52149"
"2022-01-07","종로구","4485147","2841561","239702","66358"
"2022-01-08","종로구","5399356","3479548","235191","58406"
"2022-01-09","종로구","4023899","2313086","361780","49585"
"2022-01-10","종로구","3900753","2301414","125573","28999"
"2022-01-11","종로구","3951815","2485339","107750","32971"
"2022-01-12","종로구","3938708","2548469","76558","19799"
"2022-01-13","종로구","4121360","2604489","103703","31485"
"2022-01-14","종로구","4693958","2901159","151108","205918"
"2022-01-15","종로구","5308527","3523860","264688","55715"
"2022-01-16","종로구","3853290","2473100","116640","44320"
"2022-01-17","종로구","3760622","2317645","184366","66834"
"2022-01-18","종로구","3910517","2513001","108751","147993"
"2022-01-19","종로구","4050865","2559533","156937","54706"
"2022-01-20","종로구","4339037","2795857","183810","49769"
"2022-01-21","종로구","4824688","3104111","295968","54940"
"2022-01-22","종로구","5678344","3773803","339502","74779"
"2022-01-23","종로구","4215329","2663971","296995","43196"
"2022-01-24","종로구","4112739","2454331","141166","72627"
"2022-01-25","종로구","4449403","2642013","164624","41085"
"2022-01-26","종로구","4610563","2841398","235583","133822"
"2022-01-27","종로구","4346897","2844121","127363","37850"
"2022-01-28","종로구","4861779","3031701","221644","38164"
"2022-01-29","종로구","4870233","3011592","205951","73060"
"2022-01-30","종로구","4025819","2431046","184473","37786"
"2022-01-31","종로구","2993885","1694030","193228","19227"
"2022-02-01","종로구","1582708","993364","228379","15903"
"2022-02-02","종로구","3133981","1862383","177897","26362"
"2022-02-03","종로구","3402683","1954874","127679","60896"
"2022-02-04","종로구","3900421","2406210","131178","74497"
"2022-02-05","종로구","4215577","2631166","223504","38943"
"2022-02-06","종로구","3084101","1905591","142148","40058"
"2022-02-07","종로구","3328119","1917049","132171","36860"
"2022-02-08","종로구","3569491","2158085","109023","72871"
"2022-02-09","종로구","3594432","2189725","132539","25374"
"2022-02-10","종로구","3769021","2313001","156957","86501"
"2022-02-11","종로구","4051275","2604448","161133","43907"
"2022-02-12","종로구","4939195","3162226","347259","73978"
"2022-02-13","종로구","3597643","2292305","166370","27874"
"2022-02-14","종로구","3519866","2050192","151392","93754"
"2022-02-15","종로구","3350419","2127918","87971","54878"
"2022-02-16","종로구","3452628","2157046","87777","102114"
"2022-02-17","종로구","3431646","2183063","113238","25880"
"2022-02-18","종로구","3887254","2478948","185002","36196"
"2022-02-19","종로구","5122788","3114099","497435","46484"
"2022-02-20","종로구","3417760","2080507","179256","37919"
"2022-02-21","종로구","3285928","1921825","115712","24749"
"2022-02-22","종로구","3633406","2221747","136976","68899"
"2022-02-23","종로구","3719682","2274653","207070","54601"
"2022-02-24","종로구","3779699","2359590","137747","103444"
"2022-02-25","종로구","4494632","2802342","246344","104676"
"2022-02-26","종로구","4651595","2914329","283416","56043"
"2022-02-27","종로구","4017133","2392382","323674","44087"
"2022-02-28","종로구","4611295","2549385","234121","180981"
"2022-03-01","종로구","4332780","2666543","189223","40436"
"2022-03-02","종로구","3790029","2137115","109492","20717"
"2022-03-03","종로구","4126414","2232824","133223","45055"
"2022-03-04","종로구","4332763","2480948","156708","75379"
"2022-03-05","종로구","5229157","3169095","284886","55560"
"2022-03-06","종로구","3908650","2204814","210768","41191"
"2022-03-07","종로구","3742457","1949603","160977","51030"
"2022-03-08","종로구","4470433","2629166","129577","69144"
"2022-03-09","종로구","4331614","2723663","126697","49539"
"2022-03-10","종로구","3822925","2177432","131082","27090"
"2022-03-11","종로구","4503739","2761363","186606","56235"
"2022-03-12","종로구","5340313","3403449","230645","53238"
"2022-03-13","종로구","3612548","1980504","375303","35508"
"2022-03-14","종로구","3789986","1830058","148032","101419"
"2022-03-15","종로구","4041016","2216269","125203","29240"
"2022-03-16","종로구","4435109","2317203","127613","161697"
"2022-03-17","종로구","4102490","2285182","122044","38765"
"2022-03-18","종로구","4699088","2678236","119034","30322"
"2022-03-19","종로구","4881406","3079870","165000","60450"
"2022-03-20","종로구","4125006","2360001","334929","55402"
"2022-03-21","종로구","4311455","2052582","90370","47856"
"2022-03-22","종로구","4140936","2313926","107961","28412"
"2022-03-23","종로구","4337063","2420639","151191","24519"
"2022-03-24","종로구","4338907","2518730","161862","55596"
"2022-03-25","종로구","5098916","3021569","159560","21408"
"2022-03-26","종로구","5461143","3535140","249435","70494"
"2022-03-27","종로구","4584286","2748369","386349","41857"
"2022-03-28","종로구","4074959","2305308","105499","95783"
"2022-03-29","종로구","4372642","2566534","151350","68633"
"2022-03-30","종로구","4479744","2639646","229081","94765"
"2022-03-31","종로구","4816815","2800123","93958","57411"
"2022-04-01","종로구","5423355","3477733","186345","55163"
"2022-04-02","종로구","6362879","4238669","329186","54027"
"2022-04-03","종로구","4702230","3010490","319627","43327"
"2022-04-04","종로구","4219591","2355979","134200","71246"
"2022-04-05","종로구","4687225","2699329","247687","82990"
"2022-04-06","종로구","4663833","2894950","146487","34128"
"2022-04-07","종로구","4896374","2956907","112707","53144"
"2022-04-08","종로구","5685038","3645025","193244","52155"
"2022-04-09","종로구","6637325","4504146","270244","80263"
"2022-04-10","종로구","4859249","3202574","278767","66089"
"2022-04-11","종로구","4505307","2562183","133999","46161"
"2022-04-12","종로구","4525578","2733385","93318","71011"
"2022-04-13","종로구","4678009","2857221","116373","44569"
"2022-04-14","종로구","4930355","3005593","157559","118526"
"2022-04-15","종로구","5890676","3720045","165479","91443"
"2022-04-16","종로구","6710327","4618405","290166","87583"
"2022-04-17","종로구","4894284","3086580","275894","84614"
"2022-04-18","종로구","4363456","2591244","116587","58735"
"2022-04-19","종로구","4752938","2987459","145814","62444"
"2022-04-20","종로구","4963283","3288677","148882","31189"
"2022-04-21","종로구","5261499","3361926","137247","74825"
"2022-04-22","종로구","5656390","3707292","167968","76188"
"2022-04-23","종로구","7311730","4907868","344353","73598"
"2022-04-24","종로구","5007316","3377532","269450","61296"
"2022-04-25","종로구","5033704","2681398","135176","90408"
"2022-04-26","종로구","5218923","3202952","117806","109443"
"2022-04-27","종로구","5449756","3514238","162246","50143"
"2022-04-28","종로구","5766327","3558688","262431","85314"
"2022-04-29","종로구","6443587","4234116","189476","67752"
"2022-04-30","종로구","7786823","5298312","509569","89903"
"2022-05-01","종로구","5641321","3674007","241933","65010"
"2022-05-02","종로구","5198550","2969902","141096","132261"
"2022-05-03","종로구","5336515","3359326","114540","94723"
"2022-05-04","종로구","6212961","4089054","146180","110080"
"2022-05-05","종로구","7431983","5017153","278442","74263"
"2022-05-06","종로구","6709444","4290214","275818","77500"
"2022-05-07","종로구","6556059","4528617","311537","87240"
"2022-05-08","종로구","4545518","3095624","189788","53612"
"2022-05-09","종로구","4689613","2959353","99284","47226"
"2022-05-10","종로구","5070751","3337489","106718","79129"
"2022-05-11","종로구","5489572","3723897","118793","150793"
"2022-05-12","종로구","6058189","3757225","117864","116121"
"2022-05-13","종로구","6809902","4556335","189001","72976"
"2022-05-14","종로구","8243497","5874165","330863","123412"
"2022-05-15","종로구","5698638","3839339","259955","74862"
"2022-05-16","종로구","5203686","3164580","109120","144568"
"2022-05-17","종로구","5309669","3501222","92527","155090"
"2022-05-18","종로구","5771260","3702956","172358","102211"
"2022-05-19","종로구","5929267","3825660","135432","61698"
"2022-05-20","종로구","6777897","4501492","285232","75238"
"2022-05-21","종로구","7743342","5569347","265214","93261"
"2022-05-22","종로구","5706221","3754092","250411","80360"
"2022-05-23","종로구","4783566","3021449","146847","32827"
"2022-05-24","종로구","5159881","3401852","163862","94847"
"2022-05-25","종로구","5713234","3730841","174799","95831"
"2022-05-26","종로구","5956699","3836703","140082","85107"
"2022-05-27","종로구","6561061","4486678","179054","106354"
"2022-05-28","종로구","7772405","5511067","382097","99976"
"2022-05-29","종로구","5645152","3701154","481505","120727"
"2022-05-30","종로구","5382332","3092443","133234","114861"
"2022-05-31","종로구","7070766","4395078","299584","46360"
"2022-06-01","종로구","6348573","4318608","244780","78988"
"2022-06-02","종로구","5351284","3369108","172795","83916"
"2022-06-03","종로구","6196783","4068315","159783","47555"
"2022-06-04","종로구","7043510","4908891","292448","86074"
"2022-06-05","종로구","5844473","4144420","223581","73275"
"2022-06-06","종로구","4818291","3191761","239458","58010"
"2022-06-07","종로구","5313199","2976549","128534","133981"
"2022-06-08","종로구","5296182","3332501","117343","158403"
"2022-06-09","종로구","4939369","3267852","148904","113707"
"2022-06-10","종로구","5761919","4032281","165601","44537"
"2022-06-11","종로구","7141083","5048542","348458","84267"
"2022-06-12","종로구","5176512","3541258","221090","62192"
"2022-06-13","종로구","4771435","2908615","111607","85772"
"2022-06-14","종로구","4624702","3134305","121780","62057"
"2022-06-15","종로구","5022336","3374209","139374","107630"
"2022-06-16","종로구","5248024","3526614","136075","119896"
"2022-06-17","종로구","6194084","4206577","187754","143586"
"2022-06-18","종로구","7168836","5188164","236961","73836"
"2022-06-19","종로구","5151050","3453758","251943","71024"
"2022-06-20","종로구","4852773","3050242","234039","64968"
"2022-06-21","종로구","4997557","3336121","146940","118343"
"2022-06-22","종로구","5419944","3700711","204218","87118"
"2022-06-23","종로구","4822121","3205703","196318","80504"
"2022-06-24","종로구","6092834","4303354","200937","50865"
"2022-06-25","종로구","7215941","5064544","395300","93355"
"2022-06-26","종로구","4843660","3272399","231053","72436"
"2022-06-27","종로구","4617680","2844585","133135","85957"
"2022-06-28","종로구","4839518","3089809","150938","81056"
"2022-06-29","종로구","4943026","3256195","196590","58977"
"2022-06-30","종로구","4827423","2986640","126684","127981"
"2022-07-01","종로구","6057064","3967461","256381","91742"
"2022-07-02","종로구","6659908","4690659","281042","83978"
"2022-07-03","종로구","4815832","3186070","220582","81722"
"2022-07-04","종로구","4688313","2773718","175821","30183"
"2022-07-05","종로구","5202393","3048987","139157","295231"
"2022-07-06","종로구","5069020","3304615","187489","66654"
"2022-07-07","종로구","5116099","3243901","180776","69103"
"2022-07-08","종로구","5917363","3995459","169920","90088"
"2022-07-09","종로구","6931677","4670932","445033","69553"
"2022-07-10","종로구","4733459","3118589","206647","69982"
"2022-07-11","종로구","4530616","2787400","145688","96931"
"2022-07-12","종로구","4820268","3083728","147312","203414"
"2022-07-13","종로구","4160492","2805764","135980","31429"
"2022-07-14","종로구","5113017","3475226","156310","150571"
"2022-07-15","종로구","6157758","4040617","176355","76497"
"2022-07-16","종로구","6370786","4368834","270166","71242"
"2022-07-17","종로구","4903351","3246084","202487","64353"
"2022-07-18","종로구","4790720","2924016","120193","70321"
"2022-07-19","종로구","4789369","3184574","160709","63664"
"2022-07-20","종로구","5292217","3380938","188231","101691"
"2022-07-21","종로구","5424952","3371759","168600","73562"
"2022-07-22","종로구","6064708","3907362","251384","59499"
"2022-07-23","종로구","6323371","4348528","234645","74293"
"2022-07-24","종로구","4787031","3076063","202468","91756"
"2022-07-25","종로구","4975172","3078984","165576","166181"
"2022-07-26","종로구","5080515","3332248","160267","128706"
"2022-07-27","종로구","5494293","3620480","183182","111721"
"2022-07-28","종로구","5486043","3556891","194885","72734"
"2022-07-29","종로구","6323306","4086161","179023","76353"
"2022-07-30","종로구","6158286","4169418","255460","58020"
"2022-07-31","종로구","4324668","2784698","321742","62747"
"2022-08-01","종로구","4680939","2934943","189159","66047"
"2022-08-02","종로구","4713706","2904978","211213","186548"
"2022-08-03","종로구","5035318","3163213","225516","135809"
"2022-08-04","종로구","5278630","3452345","210556","99211"
"2022-08-05","종로구","5653302","3805535","221224","124145"
"2022-08-06","종로구","5975769","3965945","355056","69803"
"2022-08-07","종로구","4578013","2883589","360550","58473"
"2022-08-08","종로구","3888740","2307225","163940","70099"
"2022-08-09","종로구","3507418","2085245","156945","74137"
"2022-08-10","종로구","4881341","3030082","123707","125322"
"2022-08-11","종로구","4760474","3122571","132956","67288"
"2022-08-12","종로구","5847616","3914518","179822","50836"
"2022-08-13","종로구","5633069","3875664","251268","70093"
"2022-08-14","종로구","5440961","3695648","232483","74833"
"2022-08-15","종로구","4384963","2849588","227522","61602"
"2022-08-16","종로구","4903680","2881451","203306","145997"
"2022-08-17","종로구","5178248","3318772","144387","177809"
"2022-08-18","종로구","5335495","3440466","115100","97227"
"2022-08-19","종로구","5707225","3496567","486118","95007"
"2022-08-20","종로구","6503045","4485623","253256","112863"
"2022-08-21","종로구","4928623","3244932","236452","57977"
"2022-08-22","종로구","4813112","2921390","170604","133874"
"2022-08-23","종로구","4990290","3094858","138032","74027"
"2022-08-24","종로구","5195776","3265906","135829","105300"
"2022-08-25","종로구","5347478","3318625","158516","53726"
"2022-08-26","종로구","6115248","4030251","188885","147481"
"2022-08-27","종로구","7431985","5054644","335049","91147"
"2022-08-28","종로구","5404137","3654158","212976","84052"
"2022-08-29","종로구","4912488","2750996","139052","165975"
"2022-08-30","종로구","4642222","2886499","149755","48419"
"2022-08-31","종로구","5568091","3486071","198427","136526"
"2022-09-01","종로구","5928911","3585973","146986","121187"
"2022-09-02","종로구","6554019","4027076","130582","183278"
"2022-09-03","종로구","7621956","5050914","341336","94025"
"2022-09-04","종로구","4503079","2710201","180370","44748"
"2022-09-05","종로구","3847681","2009938","97647","41984"
"2022-09-06","종로구","5287073","2941486","138567","195585"
"2022-09-07","종로구","5956268","3599283","135728","118969"
"2022-09-08","종로구","6320747","3817229","169255","86979"
"2022-09-09","종로구","5079494","3227439","241696","42948"
"2022-09-10","종로구","3181037","2201175","270309","35457"
"2022-09-11","종로구","5402198","3715326","232201","51085"
"2022-09-12","종로구","4978792","3346835","182819","53709"
"2022-09-13","종로구","4445506","2521744","176823","116891"
"2022-09-14","종로구","5010000","3074070","80233","58932"
"2022-09-15","종로구","5262207","3317855","91161","116355"
"2022-09-16","종로구","5963852","3877208","319880","141610"
"2022-09-17","종로구","7244233","5049950","425115","90516"
"2022-09-18","종로구","5249643","3614662","231390","63779"
"2022-09-19","종로구","4736473","2977313","121203","105590"
"2022-09-20","종로구","5760559","3369516","92976","173441"
"2022-09-21","종로구","5435444","3616472","155609","77900"
"2022-09-22","종로구","5350695","3638934","113591","81919"
"2022-09-23","종로구","6306663","4224978","238081","69760"
"2022-09-24","종로구","7744412","5736800","241834","80414"
"2022-09-25","종로구","5718073","3882893","218208","266124"
"2022-09-26","종로구","5086904","2987793","156299","172440"
"2022-09-27","종로구","5182613","3382670","137674","287742"
"2022-09-28","종로구","5407250","3586473","143452","86014"
"2022-09-29","종로구","5595612","3653250","231383","116225"
"2022-09-30","종로구","6538061","4438461","299353","115056"
"2022-10-01","종로구","8047313","5749177","479814","71233"
"2022-10-02","종로구","6301985","4388402","298490","78647"
"2022-10-03","종로구","4373134","2887482","249769","45242"
"2022-10-04","종로구","5090134","3017811","157603","187003"
"2022-10-05","종로구","5539854","3608898","156803","144698"
"2022-10-06","종로구","5423286","3656890","157314","112106"
"2022-10-07","종로구","6486459","4402778","150580","262399"
"2022-10-08","종로구","8345746","5961557","426152","94248"
"2022-10-09","종로구","5774626","3968656","298918","67691"
"2022-10-10","종로구","5079276","3302249","269790","65690"
"2022-10-11","종로구","4928792","3097062","123688","157541"
"2022-10-12","종로구","5633790","3690064","181559","181390"
"2022-10-13","종로구","5577989","3742817","162295","171566"
"2022-10-14","종로구","6608559","4422459","371758","121839"
"2022-10-15","종로구","7915161","5696080","394197","70424"
"2022-10-16","종로구","5545525","3795240","346710","60999"
"2022-10-17","종로구","4980143","3072706","146039","137673"
"2022-10-18","종로구","4943311","3404678","113726","58296"
"2022-10-19","종로구","5446663","3737530","145056","82670"
"2022-10-20","종로구","5622937","3775944","194983","62485"
"2022-10-21","종로구","6935322","4708499","187102","211724"
"2022-10-22","종로구","8260466","5990307","490071","117940"
"2022-10-23","종로구","5840759","4131446","250897","81394"
"2022-10-24","종로구","5056039","3128315","186151","190389"
"2022-10-25","종로구","5185981","3586532","138147","92239"
"2022-10-26","종로구","5922064","4062957","161373","109285"
"2022-10-27","종로구","6099600","4074370","230017","146454"
"2022-10-28","종로구","7100291","4721534","413081","86733"
"2022-10-29","종로구","8607184","6262067","466160","99947"
"2022-10-30","종로구","5977618","4322172","215404","73896"
"2022-10-31","종로구","4972183","3229239","124268","175341"
"2022-11-01","종로구","5208852","3379504","139108","109560"
"2022-11-02","종로구","5625802","3765076","128274","56469"
"2022-11-03","종로구","5203226","3677404","162215","80132"
"2022-11-04","종로구","6548053","4443006","146131","158904"
"2022-11-05","종로구","8076842","5972375","274505","113225"
"2022-11-06","종로구","6024979","4311614","172362","92940"
"2022-11-07","종로구","4508836","2928585","114033","102139"
"2022-11-08","종로구","5015519","3361175","82508","75825"
"2022-11-09","종로구","5535900","3715584","136535","95351"
"2022-11-10","종로구","5483901","3847318","133362","65616"
"2022-11-11","종로구","7061471","4623760","428978","117900"
"2022-11-12","종로구","7200178","4955851","602190","79961"
"2022-11-13","종로구","5688726","3774224","401495","108716"
"2022-11-14","종로구","4892016","3036941","120457","147936"
"2022-11-15","종로구","5100776","3341233","100905","53650"
"2022-11-16","종로구","5389147","3691299","118253","48752"
"2022-11-17","종로구","5651425","3811066","133803","74719"
"2022-11-18","종로구","6853480","4464829","220617","111853"
"2022-11-19","종로구","7640032","5538636","270678","95545"
"2022-11-20","종로구","5459192","3801203","187664","61866"
"2022-11-21","종로구","4992688","2985671","232701","156489"
"2022-11-22","종로구","5022794","3266135","245671","151006"
"2022-11-23","종로구","5587252","3615343","170562","141125"
