"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-01-01","중구","11482796","1819590","841209","37436"
"2022-01-02","중구","17276489","1569820","644703","37430"
"2022-01-03","중구","16366477","2385154","535729","90153"
"2022-01-04","중구","17492170","2536340","493948","90259"
"2022-01-05","중구","16717302","2708089","436942","69916"
"2022-01-06","중구","17136754","2716767","571643","82584"
"2022-01-07","중구","18812431","2972658","802516","31273"
"2022-01-08","중구","20004137","2500804","956991","49031"
"2022-01-09","중구","16300701","1744436","895476","46990"
"2022-01-10","중구","15014619","2503709","523023","50183"
"2022-01-11","중구","15994491","2674296","517170","214512"
"2022-01-12","중구","15728313","2824379","456118","43126"
"2022-01-13","중구","16789961","2736739","636413","57033"
"2022-01-14","중구","19071628","2976281","641883","54576"
"2022-01-15","중구","21067970","2636761","1039392","47691"
"2022-01-16","중구","17075044","1738599","1073794","46666"
"2022-01-17","중구","16442630","2549435","648618","103900"
"2022-01-18","중구","15841318","2709772","618512","45711"
"2022-01-19","중구","15826625","2788770","480574","70112"
"2022-01-20","중구","17569757","3017402","704198","76565"
"2022-01-21","중구","19616466","3117072","785968","52305"
"2022-01-22","중구","21020192","2562439","1195283","42603"
"2022-01-23","중구","16920995","1831340","1274555","41878"
"2022-01-24","중구","16383010","2757622","720592","59247"
"2022-01-25","중구","16486933","2904761","656125","45022"
"2022-01-26","중구","17449953","2960926","552280","45406"
"2022-01-27","중구","18119839","2964661","682662","43325"
"2022-01-28","중구","20624727","3067274","803896","38055"
"2022-01-29","중구","19652618","2138571","890867","36812"
"2022-01-30","중구","16861569","1675848","979444","37873"
"2022-01-31","중구","12812992","1157841","785497","46461"
"2022-02-01","중구","6448518","660091","743694","15899"
"2022-02-02","중구","10366127","1205270","730016","34172"
"2022-02-03","중구","14971499","2114379","774438","94615"
"2022-02-04","중구","16291277","2383864","524261","49679"
"2022-02-05","중구","16841159","1927902","776449","34434"
"2022-02-06","중구","13632383","1334333","644651","28312"
"2022-02-07","중구","13544599","2131847","508322","47208"
"2022-02-08","중구","13688999","2269765","373375","68038"
"2022-02-09","중구","14208730","2338953","342455","80758"
"2022-02-10","중구","15038816","2465051","501161","24481"
"2022-02-11","중구","17416368","2603062","590048","30847"
"2022-02-12","중구","18752273","2338759","1064518","34556"
"2022-02-13","중구","15316645","1593464","731530","25562"
"2022-02-14","중구","15089528","2110032","485363","52543"
"2022-02-15","중구","15240564","2216520","480772","25217"
"2022-02-16","중구","14918183","2217956","455666","34940"
"2022-02-17","중구","15256694","2313793","522753","24777"
"2022-02-18","중구","17780818","2491899","659923","37947"
"2022-02-19","중구","20015478","2221487","1093040","46940"
"2022-02-20","중구","15464708","1434272","845919","34978"
"2022-02-21","중구","14112176","2129361","526320","88514"
"2022-02-22","중구","14818138","2312459","654709","53021"
"2022-02-23","중구","15188989","2378629","695928","49020"
"2022-02-24","중구","15205881","2414160","508516","84817"
"2022-02-25","중구","17281231","2714857","720481","75555"
"2022-02-26","중구","18371953","2128389","879394","36363"
"2022-02-27","중구","15140459","1695272","830028","39811"
"2022-02-28","중구","16895817","2579054","710390","122813"
"2022-03-01","중구","15744594","1877696","678184","49564"
"2022-03-02","중구","15869404","2245984","454855","73947"
"2022-03-03","중구","14701473","2437134","399649","25728"
"2022-03-04","중구","16622817","2589515","492724","29273"
"2022-03-05","중구","17753257","2194000","1145672","106442"
"2022-03-06","중구","15140721","1515910","714935","40676"
"2022-03-07","중구","14308103","2192645","458942","45447"
"2022-03-08","중구","15988862","2736327","526253","59481"
"2022-03-09","중구","15114945","1843067","644902","59421"
"2022-03-10","중구","14633199","2399805","398433","71967"
"2022-03-11","중구","17973327","2708694","639894","83519"
"2022-03-12","중구","19858482","2321762","1353879","39668"
"2022-03-13","중구","14155389","1406903","720970","34411"
"2022-03-14","중구","14640739","2066639","418886","38176"
"2022-03-15","중구","15819741","2362409","389756","50343"
"2022-03-16","중구","15331088","2415145","411049","43911"
"2022-03-17","중구","16890940","2421457","361471","27102"
"2022-03-18","중구","20213148","2672878","652993","44037"
"2022-03-19","중구","18606682","2232853","874417","39593"
"2022-03-20","중구","16471797","1685961","928024","40623"
"2022-03-21","중구","15683406","2249174","477414","61526"
"2022-03-22","중구","15684664","2488037","520532","92650"
"2022-03-23","중구","16251258","2520174","412921","93579"
"2022-03-24","중구","16590611","2595947","615738","45113"
"2022-03-25","중구","19170466","2962082","667532","54885"
"2022-03-26","중구","20509982","2545107","1240893","48509"
"2022-03-27","중구","17413438","1796494","1139884","40009"
"2022-03-28","중구","14561400","2457429","472204","110182"
"2022-03-29","중구","16659193","2680829","425650","72956"
"2022-03-30","중구","17425702","2784396","398079","147026"
"2022-03-31","중구","18450278","2970646","651003","78329"
"2022-04-01","중구","20606774","3281754","676985","111067"
"2022-04-02","중구","22652140","2920817","1098553","43032"
"2022-04-03","중구","17353334","1878584","913207","43319"
"2022-04-04","중구","16652402","2610232","524499","40671"
"2022-04-05","중구","17296913","2895372","458557","45292"
"2022-04-06","중구","17355307","2924278","481142","37670"
"2022-04-07","중구","17832026","3033207","413783","121255"
"2022-04-08","중구","20115525","3514229","739559","103722"
"2022-04-09","중구","22094060","3149677","1143453","51712"
"2022-04-10","중구","18038029","2193752","1185373","38450"
"2022-04-11","중구","16984574","2770936","536265","47322"
"2022-04-12","중구","17584817","2989210","653433","47147"
"2022-04-13","중구","17381526","2965243","467520","53605"
"2022-04-14","중구","18518393","3157614","489794","61508"
"2022-04-15","중구","21326404","3621655","742633","79235"
"2022-04-16","중구","22589813","3128379","1074434","50111"
"2022-04-17","중구","18950555","2239177","995668","45600"
"2022-04-18","중구","16769804","2853133","618046","32473"
"2022-04-19","중구","18545428","3230025","827107","99591"
"2022-04-20","중구","19197370","3253980","517945","90755"
"2022-04-21","중구","18970746","3389782","440535","57200"
"2022-04-22","중구","21601395","3716941","724574","72315"
"2022-04-23","중구","24238888","3542926","1103852","46378"
"2022-04-24","중구","18258719","2250984","866471","48868"
"2022-04-25","중구","16065889","2912394","523395","87109"
"2022-04-26","중구","18935939","3365618","513808","79454"
"2022-04-27","중구","19550123","3515524","455636","104007"
"2022-04-28","중구","19956140","3743232","472460","95711"
"2022-04-29","중구","23534240","4085394","810698","131754"
"2022-04-30","중구","24121166","3654298","1261671","70033"
"2022-05-01","중구","20300145","2393143","1071861","50318"
"2022-05-02","중구","18078779","3170894","574105","100920"
"2022-05-03","중구","19139673","3490227","636196","66496"
"2022-05-04","중구","21077870","3957473","689294","105553"
"2022-05-05","중구","22653170","3352013","958698","114007"
"2022-05-06","중구","23054335","3749224","1047475","86171"
"2022-05-07","중구","23209730","3247246","1268468","59327"
"2022-05-08","중구","17846461","2044976","1016312","35935"
"2022-05-09","중구","16127351","3074517","677232","101709"
"2022-05-10","중구","19318039","3465614","458056","48399"
"2022-05-11","중구","20243086","3612564","579696","85052"
"2022-05-12","중구","19796026","3697583","752411","87345"
"2022-05-13","중구","23089991","4116462","669692","78498"
"2022-05-14","중구","26576204","3795605","1786874","59698"
"2022-05-15","중구","21121297","2604480","1020887","66530"
"2022-05-16","중구","18718081","3189066","589545","52931"
"2022-05-17","중구","19155140","3463931","620773","60652"
"2022-05-18","중구","19032241","3544655","535240","105894"
