"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-01-01","중구","4265034","1694541","314145","69374"
"2022-01-02","중구","2723262","991320","266138","38054"
"2022-01-03","중구","2560691","484042","114173","10603"
"2022-01-04","중구","2751851","487241","108713","12987"
"2022-01-05","중구","2862941","534380","123075","10063"
"2022-01-06","중구","2952549","553432","148904","13132"
"2022-01-07","중구","3190597","618007","154523","15665"
"2022-01-08","중구","3593329","1206591","181285","39847"
"2022-01-09","중구","2572454","1043299","186331","47823"
"2022-01-10","중구","2663836","527694","136337","16394"
"2022-01-11","중구","2809097","489885","90308","7014"
"2022-01-12","중구","2962744","534049","150024","8622"
"2022-01-13","중구","2943500","529872","127814","9044"
"2022-01-14","중구","3187342","650948","146046","15207"
"2022-01-15","중구","3769008","1267413","193576","43285"
"2022-01-16","중구","2811565","1100039","228813","41065"
"2022-01-17","중구","2717387","490514","162437","16280"
"2022-01-18","중구","2919112","522795","125331","14408"
"2022-01-19","중구","2605418","481541","87508","6318"
"2022-01-20","중구","2788448","582620","106199","10901"
"2022-01-21","중구","3349132","643802","148819","12052"
"2022-01-22","중구","3993893","1308824","203750","53015"
"2022-01-23","중구","2737926","1144859","212842","55453"
"2022-01-24","중구","2819838","574532","150555","43933"
"2022-01-25","중구","2912887","554695","121961","13642"
"2022-01-26","중구","3171219","567623","122203","11464"
"2022-01-27","중구","3100098","622662","106405","8871"
"2022-01-28","중구","3599557","692977","143989","11462"
"2022-01-29","중구","3897644","1165629","244888","37777"
"2022-01-30","중구","3539135","1329727","276310","48448"
"2022-01-31","중구","3207830","1168001","314336","49707"
"2022-02-01","중구","1899607","775677","193159","28503"
"2022-02-02","중구","2300358","954188","240642","38913"
"2022-02-03","중구","2511055","510552","167966","15156"
"2022-02-04","중구","2874905","534312","166428","10624"
"2022-02-05","중구","3144983","976121","250278","29098"
"2022-02-06","중구","2306353","861358","207548","26611"
"2022-02-07","중구","2304849","426184","121628","11184"
"2022-02-08","중구","2650998","479389","102062","8824"
"2022-02-09","중구","2737867","491789","122272","10189"
"2022-02-10","중구","2878588","523678","98371","10951"
"2022-02-11","중구","2922381","572750","114980","13739"
"2022-02-12","중구","3784904","1226130","268862","45847"
"2022-02-13","중구","2638173","1047688","250855","46110"
"2022-02-14","중구","2555610","469414","114553","8350"
"2022-02-15","중구","2669481","465325","92349","23979"
"2022-02-16","중구","2742914","472804","152041","10024"
"2022-02-17","중구","2731179","519246","116871","12780"
"2022-02-18","중구","2971618","616959","148834","14075"
"2022-02-19","중구","3662801","1254404","258252","39332"
"2022-02-20","중구","2459080","997796","187186","33491"
"2022-02-21","중구","2559707","500428","225088","12049"
"2022-02-22","중구","2705826","526877","95522","9078"
"2022-02-23","중구","2841581","526265","118258","11282"
"2022-02-24","중구","2918160","585027","121424","12814"
"2022-02-25","중구","3319495","694537","296284","19358"
"2022-02-26","중구","3603477","1172400","204605","32404"
"2022-02-27","중구","3102473","1357908","253045","56236"
"2022-02-28","중구","3444219","830182","179523","33952"
"2022-03-01","중구","3093718","1159003","193022","54001"
"2022-03-02","중구","2837032","495457","159714","9607"
"2022-03-03","중구","3013243","526923","88213","6593"
"2022-03-04","중구","3127826","569882","77006","8242"
"2022-03-05","중구","3651984","1236466","229690","37787"
"2022-03-06","중구","2801101","1106214","169888","43839"
"2022-03-07","중구","2889387","476113","98071","7183"
"2022-03-08","중구","3224454","603431","98965","7854"
"2022-03-09","중구","3291525","1124388","124031","49600"
"2022-03-10","중구","3109942","490098","101504","5714"
"2022-03-11","중구","3778845","622892","113739","12023"
"2022-03-12","중구","4071598","1253342","195907","55533"
"2022-03-13","중구","2307049","866763","173818","24571"
"2022-03-14","중구","2828496","403208","91172","7933"
"2022-03-15","중구","3236642","510922","85141","7225"
"2022-03-16","중구","3315666","514483","99759","5638"
"2022-03-17","중구","3129640","521947","82973","8447"
"2022-03-18","중구","3491313","623103","127607","10674"
"2022-03-19","중구","3391011","1016212","165871","28807"
"2022-03-20","중구","3116365","1129317","196735","51666"
"2022-03-21","중구","2965062","536995","104282","10834"
"2022-03-22","중구","3180204","528712","93022","6282"
"2022-03-23","중구","3276156","524639","88529","5140"
"2022-03-24","중구","3137823","547005","78199","20968"
"2022-03-25","중구","3425818","661005","116548","9004"
"2022-03-26","중구","3907857","1327742","232332","47662"
"2022-03-27","중구","3497876","1361238","219779","69341"
"2022-03-28","중구","3330670","587466","128472","8100"
"2022-03-29","중구","3410209","604411","129823","9029"
"2022-03-30","중구","3275072","573790","105698","5613"
"2022-03-31","중구","3554713","641957","88350","7647"
"2022-04-01","중구","4185242","767604","126015","16337"
"2022-04-02","중구","5008145","1695115","294223","89750"
"2022-04-03","중구","3779621","1370559","230644","89333"
"2022-04-04","중구","3316380","549213","125301","12927"
"2022-04-05","중구","3416820","566995","93617","10126"
"2022-04-06","중구","3478596","596362","101860","6787"
"2022-04-07","중구","3497036","626785","89335","13277"
"2022-04-08","중구","4181323","775905","154066","16171"
"2022-04-09","중구","5034761","1783257","253729","93935"
"2022-04-10","중구","3892923","1522966","210263","89152"
"2022-04-11","중구","3396594","638939","142396","15055"
"2022-04-12","중구","3470227","631833","96779","9162"
"2022-04-13","중구","3538243","608212","94469","10665"
"2022-04-14","중구","3690560","634640","146431","12313"
"2022-04-15","중구","4194196","889167","139918","15851"
"2022-04-16","중구","5241032","1879878","364355","98257"
"2022-04-17","중구","4020897","1571824","213668","94742"
"2022-04-18","중구","3545661","633488","111516","15195"
"2022-04-19","중구","3768848","670161","156059","7679"
"2022-04-20","중구","3837601","718391","149484","11899"
"2022-04-21","중구","3914759","737492","220189","18754"
"2022-04-22","중구","4184139","809346","141221","16869"
"2022-04-23","중구","5345850","1874501","250804","100050"
"2022-04-24","중구","3955637","1572963","293822","94907"
"2022-04-25","중구","3609683","654528","120337","13743"
"2022-04-26","중구","3965323","761274","113398","13164"
"2022-04-27","중구","4414680","768477","232808","10981"
"2022-04-28","중구","4147247","824251","120781","29698"
"2022-04-29","중구","4290277","939058","135790","20464"
"2022-04-30","중구","5344255","1921181","428717","95190"
"2022-05-01","중구","4365820","1637121","267687","91850"
"2022-05-02","중구","4224497","713960","161190","30265"
"2022-05-03","중구","4306054","707110","180400","13059"
"2022-05-04","중구","4707554","889866","188068","32660"
"2022-05-05","중구","6172865","2395697","364803","250513"
"2022-05-06","중구","5680966","1354815","410741","91855"
"2022-05-07","중구","5760120","1909119","367865","101383"
"2022-05-08","중구","4368377","1585420","304477","64442"
"2022-05-09","중구","4213679","677126","141601","14406"
"2022-05-10","중구","4257896","711756","118349","11946"
"2022-05-11","중구","4486996","729568","114046","12474"
"2022-05-12","중구","4045969","750079","145342","13665"
"2022-05-13","중구","4678231","944122","294095","24106"
"2022-05-14","중구","5904868","2095756","331187","99229"
"2022-05-15","중구","4462902","1672862","265031","94503"
"2022-05-16","중구","4208184","721725","150123","24528"
"2022-05-17","중구","4539192","757840","113066","13163"
"2022-05-18","중구","4306962","744078","133068","15356"
"2022-05-19","중구","4254426","779636","163523","18120"
