"날짜","지역","관광총소비(천원)","외식소비(천원)","숙박소비(천원)","관광활동(천원)"
"2022-01-01","충주시","1380956","365010","47161","16498"
"2022-01-02","충주시","1070134","244610","35543","10133"
"2022-01-03","충주시","827174","150269","25124","2004"
"2022-01-04","충주시","975296","193718","17062","3544"
"2022-01-05","충주시","941549","173336","25542","3758"
"2022-01-06","충주시","997257","188139","27684","3107"
"2022-01-07","충주시","1045156","201233","42050","4274"
"2022-01-08","충주시","1425439","341688","50682","16802"
"2022-01-09","충주시","1098035","254738","27349","13323"
"2022-01-10","충주시","923820","175594","67407","1872"
"2022-01-11","충주시","963427","174598","20592","2875"
"2022-01-12","충주시","969707","191398","28570","4065"
"2022-01-13","충주시","954144","188224","20284","4689"
"2022-01-14","충주시","1018686","191916","24472","3272"
"2022-01-15","충주시","1426980","317134","57026","11567"
"2022-01-16","충주시","1176927","270376","40767","13028"
"2022-01-17","충주시","942375","169539","28144","1294"
"2022-01-18","충주시","923064","189072","22522","2665"
"2022-01-19","충주시","833349","172956","18048","2227"
"2022-01-20","충주시","939962","183237","19944","8296"
"2022-01-21","충주시","1078782","185942","19526","3131"
"2022-01-22","충주시","1518882","338968","56741","11285"
"2022-01-23","충주시","1261699","289411","27409","14314"
"2022-01-24","충주시","1076305","178662","25908","3012"
"2022-01-25","충주시","961525","171232","21483","2588"
"2022-01-26","충주시","1130302","185456","23252","3560"
"2022-01-27","충주시","1237853","203135","19470","3442"
"2022-01-28","충주시","1331938","212445","10992","3295"
"2022-01-29","충주시","1762833","315506","41080","9885"
"2022-01-30","충주시","1849037","368710","34205","17114"
"2022-01-31","충주시","1795433","385347","26488","10272"
"2022-02-01","충주시","906505","204594","26756","8247"
"2022-02-02","충주시","873656","205517","24993","10569"
"2022-02-03","충주시","851511","152711","24924","1026"
"2022-02-04","충주시","1038504","194937","13780","6372"
"2022-02-05","충주시","1079284","256648","31301","10012"
"2022-02-06","충주시","905708","192634","19840","7838"
"2022-02-07","충주시","855575","148583","37568","1466"
"2022-02-08","충주시","882976","142279","23408","1456"
"2022-02-09","충주시","894629","143390","16959","1875"
"2022-02-10","충주시","922011","152100","17088","2416"
"2022-02-11","충주시","1069829","189861","16132","2805"
"2022-02-12","충주시","1486461","318979","34421","11503"
"2022-02-13","충주시","1217187","257181","19561","10191"
"2022-02-14","충주시","936842","161102","23072","591"
"2022-02-15","충주시","861920","143550","15348","2421"
"2022-02-16","충주시","877358","157600","17938","1852"
"2022-02-17","충주시","926676","179330","18565","3103"
"2022-02-18","충주시","1231000","204233","23731","3128"
"2022-02-19","충주시","1487811","342883","35389","10420"
"2022-02-20","충주시","1161682","247243","29150","9959"
"2022-02-21","충주시","987229","155223","15232","12997"
"2022-02-22","충주시","1020732","180063","20278","869"
"2022-02-23","충주시","922880","178297","25402","1790"
"2022-02-24","충주시","1086836","194630","18821","2177"
"2022-02-25","충주시","1220617","228281","17879","6115"
