TRRSRT_NM,NEAREST_IC_NM,DISTANCE_WITH_IC,NEAREST_AIRPORT_NM,DISTANCE_WITH_AIRPORT,NEAREST_TRAIN_STATION_IC,DISTANCE_WITH_TRAIN_STATION
강변,서하남IC,5.618,김포,26.935,강변(동서울터미널),0.007
해동용궁사,동부산IC,2.358,김해,25.944,오시리아역,1.624
광화문,양재IC,13.428,김포,16.503,광화문(세종문화회관),0.088
남한산성,서하남IC,4.348,김포,35.457,마천,2.993
자갈치시장,서부산ICIC,9.67,김해,12.473,자갈치,0.346
거제,통영IC,15.198,김해,43.703,다대포해수욕장,36.798
부평깡통시장,서부산ICIC,9.04,김해,11.831,자갈치,0.437
홍대역,금천IC,11.155,김포,11.804,홍대입구,0.113
용인 에버랜드,마성IC,2.487,김포,46.759,전대·에버랜드,1.772
명동,양재IC,11.845,김포,17.214,명동,0.115
행리단길,동수원IC,3.681,김포,36.122,화서역,2.055
강남,양재IC,4.153,김포,24.975,대치,0.233
순천만습지,순천만IC,2.773,여수,10.959,녹동,57.865
이태원,양재IC,9.441,김포,17.938,이태원,0.476
논현,양재IC,5.683,김포,21.829,학동,0.065
DDP 동대문디자인플라자,남구리IC,11.556,김포,19.297,동대문역사문화공원(DDP),0.103
인왕산,자유로IC,14.354,김포,15.17,무악재,0.848
인천국제공항,공항신도시JCT,5.33,김포,32.674,인천공항2터미널,1.343
국립중앙박물관,양재IC,8.656,김포,17.171,이촌역,0.606
정자역,판교IC,3.471,김포,35.196,정자역,0.083
종묘,남구리IC,12.847,김포,18.008,종로3가(탑골공원),0.373
주문진항,남양양IC,4.18,양양,23.579,남춘천역,96.863
광화문,양재IC,13.428,김포,16.503,광화문(세종문화회관),0.088
달성공원,북대구IC,3.67,대구,7.607,달성공원,0.41
남산,양재IC,11.416,김포,16.792,회현(남대문시장),0.596
어린이대공원,남구리IC,6.017,김포,25.693,어린이대공원(세종대),0.65
대릉원,경주IC,4.089,포항경주,25.181,태화강역,35.708
덕진공원,완주JCT,6.16,군산,46.016,서대전네거리,58.906
시립미술관,부산IC,4.105,김해,18.144,벡스코,0.292
숭례문,양재IC,12.262,김포,16.287,회현(남대문시장),0.304
명동,양재IC,11.845,김포,17.214,명동,0.115
수원시장,동수원IC,5.658,김포,37.365,수원역(분당),0.139
묵호항,망상IC,4.267,양양,68.95,양원역,65.266
세종문화회관,양재IC,13.489,김포,16.393,광화문(세종문화회관),0.127
부평깡통시장,서부산ICIC,9.04,김해,11.831,자갈치,0.437
세빛둥둥섬,판교IC,4.236,김포,35.487,정자역,0.758
성수동,남구리IC,8.418,김포,23.536,성수,0.442
서울시청,양재IC,10.458,김포,18.227,버티고개,0.907
서문시장,북대구IC,4.241,대구,7.567,서문시장(동산병원),0.159
서울관광재단,양재IC,12.675,김포,17.368,종각,0.399
예술의전당,양재IC,3.132,김포,21.474,남부터미널(예술의전당),0.697
창덕궁,남구리IC,13.084,김포,17.829,안국,0.586
서울대학교,금천IC,5.886,김포,17.986,관악산,1.184
코엑스몰,양재IC,5.573,김포,24.284,봉은사,0.322
감천문화마을,서부산ICIC,8.339,김해,11.258,토성,0.914
강남,양재IC,4.153,김포,24.975,대치,0.233
홍대역,금천IC,11.155,김포,11.804,홍대입구,0.113
N서울타워,양재IC,10.869,김포,17.442,명동,1.102
황리단길,경주IC,3.997,포항경주,25.282,태화강역,35.685
충청남도청,신양IC,15.582,군산,65.158,신창(순천향대)역,36.073
경복궁,양재IC,14.154,김포,16.61,경복궁(정부서울청사),0.519
거제,통영IC,15.198,김해,43.703,다대포해수욕장,36.798
청계천,양재IC,13.031,김포,16.626,광화문(세종문화회관),0.338
합천영상테마파크,가조IC,17.618,사천,51.217,설화명곡,46.722
서울숲공원,양재IC,9.033,김포,21.818,서울숲역,0.644
서울대학교,금천IC,5.886,김포,17.986,관악산,1.184
강남,양재IC,4.153,김포,24.975,대치,0.233
성수동,남구리IC,8.418,김포,23.536,성수,0.442
인천국제공항,공항신도시JCT,5.33,김포,32.674,인천공항2터미널,1.343
광화문,양재IC,13.428,김포,16.503,광화문(세종문화회관),0.088
신촌,금천IC,12.377,김포,13.192,신촌역,0.626
영종도,영종IC,3.607,김포,23.371,영종,1.679
광장시장,남구리IC,12.363,김포,18.474,종로5가,0.227
강남,양재IC,4.153,김포,24.975,대치,0.233
숭례문,양재IC,12.262,김포,16.287,회현(남대문시장),0.304
안동 하회마을,서안동IC,10.147,대구,73.843,구미역,50.012
명동,양재IC,11.845,김포,17.214,명동,0.115
명동대성당,양재IC,12.134,김포,17.346,명동,0.277
해운대해수욕장,부산IC,1.061,김해,21.47,장산,0.337
아바이마을,북양양IC,5.185,양양,16.82,춘천역,84.56
천마총,경주IC,4.131,포항경주,25.159,태화강역,35.774
행리단길,동수원IC,3.681,김포,36.122,화서역,2.055
묵호항,망상IC,4.267,양양,68.95,양원역,65.266
서울대학교,금천IC,5.886,김포,17.986,관악산,1.184
서울관광재단,양재IC,12.675,김포,17.368,종각,0.399
황리단길,경주IC,3.997,포항경주,25.282,태화강역,35.685
서울랜드,양재IC,3.766,김포,24.495,대공원역,1.218
서울숲공원,양재IC,9.033,김포,21.818,서울숲역,0.644
서문시장,북대구IC,4.241,대구,7.567,서문시장(동산병원),0.159
가로수길,양재IC,6.648,김포,20.892,신사,0.563
효원공원,동수원IC,4.083,김포,39.333,수원시청역,0.724
성수동,남구리IC,8.418,김포,23.536,성수,0.442
N서울타워,양재IC,10.869,김포,17.442,명동,1.102
홍대역,금천IC,11.155,김포,11.804,홍대입구,0.113
한라산,강진무위사IC,149.617,제주,16.957,평동,197.282
세종문화회관,양재IC,13.489,김포,16.393,광화문(세종문화회관),0.127
송도해수욕장,서부산ICIC,10.627,김해,13.599,자갈치,2.62
쁘띠프랑스,설악IC,5.043,원주,51.602,청평역,6.059
예술의전당,양재IC,3.132,김포,21.474,남부터미널(예술의전당),0.697
대릉원,경주IC,4.089,포항경주,25.181,태화강역,35.708
인천국제공항,공항신도시JCT,5.33,김포,32.674,인천공항2터미널,1.343
