지자체명,연월,영업대수,영엽횟수(회),운행거리(km),영업거리(km),공차거리(km),운행시간(초),영업시간(초),공차시간(초),합계
서울특별시,2022-01,80991,1590195,14369547.2,9404687.9,5322745,2511381783,1384236976,1127144807,합계
부산광역시,2022-01,164261,3078468,32413953.1,16945465.8,15528196.1,5942284108,2241190620,3701093488,합계
대구광역시,2022-01,84599,1560105,15771943.9,8136169.9,7700787,2817630870,1107964992,1709665878,합계
인천광역시,2022-01,97800,1963765,21828482.2,12491339.8,9505650.1,3564584256,1598602112,1965982144,합계
광주광역시,2022-01,52753,1254530,11507218.7,6711085.9,4852638,1991861758,866786971,1125074787,합계
대전광역시,2022-01,51891,1358160,10933333.4,6525629.1,4526528.8,1873453860,914764496,958689364,합계
울산광역시,2022-01,108208,2138060,20691921.2,10509640.8,11549298.1,3701477429,1318154269,2383323160,합계
세종특별자치시,2022-01,3168,85825,1029941,512513.3,517427.6,145732309,52992402,92739907,합계
경기도 수원시,2022-01,26692,611482,6573903.4,3800704.1,3462854.8,1197588542,489978879,707609663,합계
경기도 성남시,2022-01,23019,458008,5751807.1,3084352.8,2717274.1,905647864,350096737,555551127,합계
경기도 의정부시,2022-01,2025,57534,545033.5,297753.6,266256.3,93173703,38792373,54381330,합계
경기도 안양시,2022-01,26655,585223,5964392,3308897.1,2655494.8,1060440707,426438822,634001885,합계
경기도 부천시,2022-01,8441,159136,2223908.4,896487.6,2329724.3,310256862,126049775,184207087,합계
경기도 광명시,2022-01,5152,67727,1002644,495988.3,506655.6,183128327,61363938,121764389,합계
경기도 평택시,2022-01,7807,209081,2243143,1181610,1062933.9,353020488,144185077,208835411,합계
경기도 동두천시,2022-01,4829,117990,938334.5,410244.1,540539.8,198766570,52300171,146466399,합계
경기도 안산시,2022-01,12431,324437,3091942.7,1647086.1,2539400.8,523850871,218252529,305598342,합계
경기도 고양시,2022-01,10972,222050,2961221.4,1823173.7,1327973.2,501562028,204216894,297345134,합계
경기도 과천시,2022-01,2426,56206,625556,352519,273036.9,105619947,42181392,63438555,합계
경기도 구리시,2022-01,4276,97647,1182638,670312.9,512325,180997621,75226252,105771369,합계
경기도 남양주시,2022-01,7776,186960,2244150,1259706.6,984443.3,344193141,139119911,205073230,합계
경기도 오산시,2022-01,3082,57141,749769.3,419095.9,337824,121533891,50449961,71083930,합계
경기도 시흥시,2022-01,4291,90283,1076561,576153.2,500407.7,176203348,67664955,108538393,합계
경기도 군포시,2022-01,1249,24175,291807,152360.1,139446.8,52081223,17795947,34285276,합계
경기도 의왕시,2022-01,323,6582,73756,43433.9,30322,13218752,5096125,8122627,합계
경기도 하남시,2022-01,1985,37249,458114,248207.4,209906.5,69038135,29541334,39496801,합계
경기도 용인시,2022-01,3926,98011,1300779,721155.8,579623.1,179916646,80772253,99144393,합계
경기도 파주시,2022-01,5928,139472,1984516.7,1078465.4,907754.5,265109981,106118283,158991698,합계
경기도 이천시,2022-01,4002,98519,1073890,560901.5,512988.4,182919117,62347146,120571971,합계
경기도 안성시,2022-01,2292,40539,524865,229927.8,294937.1,88116314,23797397,64318917,합계
경기도 김포시,2022-01,3432,57826,932098,500007,432090.9,137413077,50455790,86957287,합계
